,Geography,Geography_name,total_population,population_density,male_percent,percent_inhouseholds,percent_marriedhouseholds,percent_cohabitingcouple,percent_solomale,percent_solofemale,percent_occupiedhousingunits,percent_owneroccupied,percent_renteroccupied,median_age,percent_under5,percent_5to9,percent_10to14,percent_15to19,percent_20to24,percent_25to29,percent_30to34,percent_35to39,percent_40to44,percent_45to49,percent_50to54,percent_55to59,percent_60to64,percent_65to69,percent_70to74,percent_75to79,percent_80to84,percent_over85,male_median_age,male_percent_under5,male_percent_5to9,male_percent_10to14,male_percent_15to19,male_percent_20to24,male_percent_25to29,male_percent_30to34,male_percent_35to39,male_percent_40to44,male_percent_45to49,male_percent_50to54,male_percent_55to59,male_percent_60to64,male_percent_65to69,male_percent_70to74,male_percent_75to79,male_percent_80to84,male_percent_over85,Female_median_age,female_percent_under5,female_percent_5to9,female_percent_10to14,female_percent_15to19,female_percent_20to24,female_percent_25to29,female_percent_30to34,female_percent_35to39,female_percent_40to44,female_percent_45to49,female_percent_50to54,female_percent_55to59,female_percent_60to64,female_percent_65to69,female_percent_70to74,female_percent_75to79,female_percent_80to84,female_percent_over85,median_household_income,percent_income_under10k,percent_income_10to15k,percent_income_15to25k,percent_income_25to35k,percent_income_35to50k,percent_income_50to75k,percent_income_75to100k,percent_income_100to150k,percent_income_150to200k,percent_income_over200k,percent_novehicles,percent_1vehicle_perperson,percent_lessthan1vehicle_perperson,under25y_percent_highschool,under25y_percent_somecollege,under25y_percent_bachelors,over25y_percent_highschool,over25y_percent_somecollege,over25y_percent_bachelors,over25y_percent_graduatedegree
1,1400000US13121000100,Census Tract 1; Fulton County; Georgia,5679,4426.344505,0.494981511,1,0.213065681,0.033808769,0.051065328,0.066384927,0.908522283,0.620015637,0.288506646,37,0.066913189,0.078534953,0.062158831,0.052650114,0.054058813,0.080471914,0.074837119,0.081000176,0.081704525,0.080824089,0.077654517,0.059165346,0.048071844,0.043845747,0.033456594,0.01320655,0.005458708,0.00598697,38.3,0.069014586,0.082888652,0.062255425,0.052294557,0.049448595,0.063322661,0.074350765,0.080042689,0.084311633,0.08075418,0.08751334,0.063678406,0.048381359,0.047314123,0.032372821,0.012451085,0.006403415,0.003201708,36,0.064853556,0.074267782,0.062064156,0.052998605,0.058577406,0.097280335,0.075313808,0.081938633,0.079149233,0.080892608,0.067991632,0.05474198,0.04776848,0.040446304,0.034518828,0.013947001,0.004532775,0.008716876,142092,0,0.073,0.093,0.04,0.03,0.061,0.069,0.167,0.122,0.344,0,0.235780947,0.127487234,0.077,0.22,0.415,0.044,0.151,0.429,0.361
2,1400000US13121000201,Census Tract 2.01; Fulton County; Georgia,2751,5535.211268,0.533260632,1,0.187204653,0.054525627,0.100327154,0.086877499,0.952447552,0.63986014,0.312587413,37.8,0.057797165,0.036713922,0.046892039,0.03307888,0.046892039,0.121046892,0.106870229,0.086877499,0.07997092,0.079243911,0.08433297,0.063249727,0.050890585,0.050163577,0.035986914,0.01563068,0.003271538,0.001090513,40.7,0.050443081,0.036809816,0.049079755,0.025903204,0.038854806,0.105657805,0.100886162,0.085889571,0.083162918,0.082481254,0.098841172,0.076346285,0.05862304,0.053851397,0.032038173,0.015678255,0.00408998,0.001363327,35.1,0.066199377,0.036604361,0.044392523,0.041277259,0.056074766,0.138629283,0.113707165,0.088006231,0.076323988,0.075545171,0.067757009,0.048286604,0.042056075,0.045950156,0.040498442,0.015576324,0.002336449,0.000778816,112849,0.014,0,0.016,0.013,0.038,0.22,0.07,0.274,0.074,0.283,0,0.303525991,0.065430752,0.387,0.24,0.373,0.057,0.124,0.388,0.388
3,1400000US13121000202,Census Tract 2.02; Fulton County; Georgia,3316,5400.651466,0.520808203,0.990048251,0.216224367,0.030156815,0.053075995,0.055186972,0.937896965,0.694424841,0.243472124,38,0.071773221,0.073281062,0.067249698,0.043425814,0.037696019,0.085343788,0.069963812,0.080217129,0.08655006,0.085343788,0.080217129,0.063630881,0.051266586,0.050361882,0.032569361,0.013570567,0.005126659,0.002412545,38.5,0.074116966,0.069484655,0.078749276,0.040532716,0.03358425,0.080486393,0.069484655,0.072379849,0.088013897,0.092067169,0.081065431,0.068905617,0.05269253,0.050376375,0.030110017,0.00984366,0.00463231,0.003474233,37.5,0.069225928,0.077407174,0.054751416,0.04657017,0.042164884,0.090623033,0.070484581,0.088735053,0.084959094,0.078036501,0.079295154,0.057898049,0.049716803,0.05034613,0.035242291,0.017621145,0.00566394,0.001258653,171042,0.042,0.026,0.009,0,0,0.081,0.05,0.244,0.076,0.471,0.002412545,0.197527141,0.247889023,0,0.195,0.705,0.057,0.039,0.323,0.544
4,1400000US13121000400,Census Tract 4; Fulton County; Georgia,1865,3103.161398,0.538873995,0.995710456,0.204825737,0.034316354,0.156032172,0.147989276,0.886899919,0.571196094,0.315703824,48.4,0.026273458,0.027882038,0.024664879,0.026273458,0.064343164,0.094906166,0.077747989,0.075067024,0.048793566,0.054691689,0.07613941,0.09383378,0.083646113,0.067024129,0.067560322,0.049865952,0.028954424,0.01233244,47.2,0.022885572,0.039800995,0.022885572,0.022885572,0.055721393,0.092537313,0.082587065,0.078606965,0.052736318,0.060696517,0.072636816,0.095522388,0.093532338,0.054726368,0.068656716,0.04278607,0.026865672,0.013930348,49.6,0.030232558,0.013953488,0.026744186,0.030232558,0.074418605,0.097674419,0.072093023,0.070930233,0.044186047,0.047674419,0.080232558,0.091860465,0.072093023,0.081395349,0.06627907,0.058139535,0.031395349,0.010465116,121681,0.036,0,0.065,0.022,0.071,0.096,0.154,0.115,0.185,0.256,0.055764075,0.345844504,0.149597855,0.111,0.758,0.131,0.041,0.139,0.272,0.534
5,1400000US13121000501,Census Tract 5.01; Fulton County; Georgia,4281,8845.041322,0.558747956,1,0.098341509,0.059799112,0.23125438,0.146694698,0.803634232,0.264947245,0.538686987,30.9,0.018920813,0.018687223,0.011212334,0.021023125,0.149264191,0.243167484,0.164447559,0.089698669,0.070077085,0.055828078,0.052557814,0.038308806,0.029432376,0.020088764,0.010044382,0.004438215,0.000700771,0.002102313,31.5,0.018812709,0.016304348,0.009615385,0.019648829,0.131688963,0.242056856,0.169732441,0.097826087,0.074414716,0.060618729,0.060200669,0.035117057,0.028428094,0.019648829,0.010451505,0.003344482,0.00083612,0.001254181,30.2,0.019057702,0.021704606,0.013234516,0.022763367,0.171519322,0.244573849,0.157755426,0.079407094,0.064584436,0.049761779,0.042879831,0.04235045,0.030704076,0.020645844,0.009528851,0.005823187,0.000529381,0.003176284,90702,0.063,0.009,0.03,0.097,0.166,0.094,0.124,0.139,0.087,0.191,0.029198785,0.266292922,0.117495912,0.043,0.504,0.453,0.092,0.132,0.485,0.292
6,1400000US13121000502,Census Tract 5.02; Fulton County; Georgia,1959,2482.889734,0.503318019,0.998468606,0.217968351,0.019397652,0.056661562,0.071975498,0.851085832,0.6442606,0.206825233,45.1,0.039816233,0.060745278,0.071975498,0.075038285,0.043389484,0.047983665,0.043389484,0.043389484,0.071975498,0.067381317,0.096477795,0.099540582,0.066870852,0.050025523,0.061766207,0.037774375,0.012761613,0.009698826,46.2,0.054766734,0.055780933,0.077079108,0.055780933,0.045638945,0.048681542,0.038539554,0.039553753,0.06693712,0.070993915,0.095334686,0.107505071,0.068965517,0.055780933,0.059837728,0.032454361,0.015212982,0.011156187,43.8,0.024665982,0.065775951,0.0668037,0.094552929,0.041109969,0.047276465,0.048304214,0.047276465,0.077081192,0.063720452,0.097636177,0.091469681,0.064748201,0.044193217,0.063720452,0.043165468,0.010277492,0.008221994,108641,0.048,0.013,0.069,0.016,0.105,0.027,0.136,0.246,0.043,0.298,0.020418581,0.249106687,0.116385911,0.068,0.432,0.149,0.078,0.215,0.281,0.396
7,1400000US13121000601,Census Tract 6.01; Fulton County; Georgia,4243,10714.64646,0.560688192,0.740042423,0.045251002,0.037237803,0.131982088,0.098750884,0.81255771,0.079870729,0.732686981,24.6,0.018854584,0.013198209,0.009427292,0.142823474,0.339618195,0.201979731,0.108178176,0.056092387,0.026160735,0.024746642,0.016969126,0.016497761,0.012726844,0.004949328,0.004949328,0.001178412,0.000707047,0.000942729,24.5,0.017654477,0.009667928,0.004623792,0.147961328,0.349726776,0.211433375,0.107608239,0.053804119,0.024800336,0.023959647,0.010928962,0.015132409,0.013871375,0.004203447,0.003362757,0.000840689,0.000420345,0,24.7,0.020386266,0.017703863,0.01555794,0.136266094,0.326716738,0.189914163,0.108905579,0.059012876,0.027896996,0.025751073,0.024678112,0.018240343,0.011266094,0.005901288,0.006974249,0.001609442,0.001072961,0.002145923,61830,0.108,0.043,0.061,0,0.216,0.119,0.128,0.149,0.104,0.073,0.056799434,0.19467358,0.129860947,0.103,0.701,0.185,0.025,0.164,0.361,0.419
8,1400000US13121000602,Census Tract 6.02; Fulton County; Georgia,3288,19688.62275,0.533150852,1,0.079075426,0.051703163,0.210766423,0.185218978,0.920120898,0.20552677,0.714594128,27.6,0.020072993,0.011253041,0.005170316,0.025547445,0.27676399,0.273418491,0.140510949,0.076034063,0.04379562,0.034975669,0.03163017,0.018856448,0.014294404,0.014294404,0.005778589,0.003345499,0.002737226,0.001520681,27.1,0.014831717,0.009697661,0.006845408,0.025099829,0.280091272,0.294922989,0.136337707,0.07815174,0.041642898,0.025099829,0.027952082,0.019395322,0.018254421,0.007415859,0.005704507,0.002852253,0.004563605,0.001140901,28,0.026058632,0.013029316,0.003257329,0.026058632,0.272964169,0.248859935,0.145276873,0.073615635,0.046254072,0.046254072,0.035830619,0.018241042,0.009771987,0.022149837,0.005863192,0.003908795,0.000651466,0.001954397,46917,0.172,0.049,0.114,0.062,0.127,0.205,0.049,0.107,0.07,0.046,0.086982968,0.322992701,0.184002433,0.049,0.285,0.653,0.068,0.135,0.477,0.309
9,1400000US13121000700,Census Tract 7; Fulton County; Georgia,3500,5131.964809,0.813714286,0.247142857,0.038857143,0.014,0.016571429,0.009714286,0.935732648,0.59125964,0.344473008,32.9,0.025714286,0.012857143,0.016857143,0.057142857,0.128285714,0.173714286,0.14,0.130857143,0.080571429,0.070571429,0.062285714,0.050857143,0.030571429,0.009714286,0.004571429,0.003428571,0.000857143,0.001142857,32.9,0.021418539,0.009480337,0.014044944,0.060393258,0.134129213,0.177317416,0.138342697,0.127106742,0.085323034,0.069171348,0.064255618,0.055126404,0.027036517,0.009831461,0.002457865,0.003160112,0.001053371,0.000351124,33,0.044478528,0.027607362,0.029141104,0.042944785,0.102760736,0.15797546,0.147239264,0.147239264,0.059815951,0.076687117,0.053680982,0.032208589,0.04601227,0.009202454,0.013803681,0.004601227,0,0.004601227,61250,0.035,0.014,0.071,0.188,0.076,0.12,0.093,0.172,0.104,0.128,0.013142857,0.062,0.035428571,0.347,0.074,0.134,0.305,0.252,0.113,0.068
10,1400000US13121001001,Census Tract 10.01; Fulton County; Georgia,4895,13559.55679,0.573033708,0.830234934,0.067824311,0.042900919,0.157303371,0.098672114,0.866542751,0.190334572,0.676208178,25.3,0.02247191,0.007967314,0.007558733,0.113993871,0.33340143,0.189172625,0.11031665,0.058835546,0.034933606,0.031256384,0.027987743,0.026149132,0.017773238,0.007967314,0.005720123,0.003677222,0.00040858,0.00040858,25.7,0.023529412,0.004991087,0.009625668,0.113368984,0.313368984,0.193226381,0.111586453,0.059536542,0.03885918,0.034937611,0.029946524,0.030659537,0.016399287,0.00855615,0.0057041,0.004278075,0.000713012,0.000713012,24.8,0.021052632,0.011961722,0.004784689,0.114832536,0.360287081,0.183732057,0.10861244,0.057894737,0.029665072,0.026315789,0.025358852,0.020095694,0.019617225,0.007177033,0.005741627,0.002870813,0,0,84655,0.061,0.032,0.037,0.039,0.046,0.19,0.134,0.184,0.154,0.122,0.034320735,0.193871297,0.073953013,0.084,0.656,0.257,0.026,0.091,0.386,0.496
11,1400000US13121001002,Census Tract 10.02; Fulton County; Georgia,7010,10293.68576,0.611412268,0.227104137,0.005278174,0.006847361,0.049928673,0.035805991,0.881835938,0.014648438,0.8671875,21.5,0.005848787,0.003994294,0.00256776,0.171184023,0.711412268,0.045649073,0.02168331,0.010271041,0.004707561,0.003851641,0.007845934,0.005991441,0.003281027,0.000570613,0,0.000998573,0,0.000142653,21.4,0.005599627,0.002333178,0.003033131,0.181054596,0.703453103,0.0419972,0.021465236,0.011665889,0.003033131,0.005132991,0.006999533,0.009332711,0.003966402,0,0,0.000933271,0,0,21.6,0.006240822,0.00660793,0.001835536,0.155653451,0.723935389,0.051395007,0.022026432,0.008076358,0.007342144,0.001835536,0.00917768,0.000734214,0.002202643,0.001468429,0,0.001101322,0,0.000367107,46346,0.167,0.016,0.11,0.085,0.146,0.307,0.077,0.055,0.024,0.012,0.012410842,0.032952924,0.025249643,0.057,0.884,0.055,0.03,0.212,0.398,0.341
