GEO_ID,NAME,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,INTPTLAT,INTPTLON
1400000US13001950100,Census Tract 9501; Appling County; Georgia,325866609,6476484,125.818,2.501,31.8787134,-82.2783139
1400000US13001950201,Census Tract 9502.01; Appling County; Georgia,104887194,805139,40.497,0.311,31.8119691,-82.2759585
1400000US13001950202,Census Tract 9502.02; Appling County; Georgia,51991028,153985,20.074,0.059,31.8066277,-82.3829656
1400000US13001950301,Census Tract 9503.01; Appling County; Georgia,28366030,34749,10.952,0.013,31.739782,-82.3282875
1400000US13001950302,Census Tract 9503.02; Appling County; Georgia,43487819,79561,16.791,0.031,31.7656901,-82.4054879
1400000US13001950400,Census Tract 9504; Appling County; Georgia,388759781,568690,150.101,0.22,31.6667971,-82.188242
1400000US13001950500,Census Tract 9505; Appling County; Georgia,373034731,2239485,144.03,0.865,31.6892652,-82.3809625
1400000US13003960100,Census Tract 9601; Atkinson County; Georgia,255746939,1477743,98.744,0.571,31.3276591,-83.0243534
1400000US13003960200,Census Tract 9602; Atkinson County; Georgia,402068853,1423792,155.24,0.55,31.2627888,-82.883197
1400000US13003960300,Census Tract 9603; Atkinson County; Georgia,229820984,1800142,88.734,0.695,31.2906602,-82.7163557
1400000US13005970100,Census Tract 9701; Bacon County; Georgia,374933154,2206488,144.763,0.852,31.5631444,-82.3878355
1400000US13005970201,Census Tract 9702.01; Bacon County; Georgia,166201073,1269189,64.171,0.49,31.600479,-82.5521315
1400000US13005970202,Census Tract 9702.02; Bacon County; Georgia,194635992,1030633,75.149,0.398,31.4896064,-82.4891054
1400000US13007960100,Census Tract 9601; Baker County; Georgia,470625162,14131168,181.709,5.456,31.3322322,-84.3614663
1400000US13007960200,Census Tract 9602; Baker County; Georgia,415040219,4467485,160.248,1.725,31.3164297,-84.5480892
1400000US13009970101,Census Tract 9701.01; Baldwin County; Georgia,126213477,1946454,48.731,0.752,33.0278872,-83.1118094
1400000US13009970102,Census Tract 9701.02; Baldwin County; Georgia,88608614,8838450,34.212,3.413,33.119226,-83.1607172
1400000US13009970201,Census Tract 9702.01; Baldwin County; Georgia,14931730,1795227,5.765,0.693,33.1188084,-83.2173407
1400000US13009970202,Census Tract 9702.02; Baldwin County; Georgia,14138748,5535047,5.459,2.137,33.1584792,-83.2645743
1400000US13009970301,Census Tract 9703.01; Baldwin County; Georgia,24460637,4842767,9.444,1.87,33.1647755,-83.3505401
