NAMELSAD,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,demographics_total_population,demographics_population_density,demographics_male_percent,demographics_percent_inhouseholds,demographics_percent_marriedhouseholds,demographics_percent_cohabitingcouple,demographics_percent_solomale,demographics_percent_solofemale,demographics_percent_occupiedhousingunits,demographics_percent_owneroccupied,demographics_percent_renteroccupied,demographics_median_age,demographics_percent_under5,demographics_percent_5to9,demographics_percent_10to14,demographics_percent_15to19,demographics_percent_20to24,demographics_percent_25to29,demographics_percent_30to34,demographics_percent_35to39,demographics_percent_40to44,demographics_percent_45to49,demographics_percent_50to54,demographics_percent_55to59,demographics_percent_60to64,demographics_percent_65to69,demographics_percent_70to74,demographics_percent_75to79,demographics_percent_80to84,demographics_percent_over85,demographics_male_median_age,demographics_male_percent_under5,demographics_male_percent_5to9,demographics_male_percent_10to14,demographics_male_percent_15to19,demographics_male_percent_20to24,demographics_male_percent_25to29,demographics_male_percent_30to34,demographics_male_percent_35to39,demographics_male_percent_40to44,demographics_male_percent_45to49,demographics_male_percent_50to54,demographics_male_percent_55to59,demographics_male_percent_60to64,demographics_male_percent_65to69,demographics_male_percent_70to74,demographics_male_percent_75to79,demographics_male_percent_80to84,demographics_male_percent_over85,demographics_Female_median_age,demographics_female_percent_under5,demographics_female_percent_5to9,demographics_female_percent_10to14,demographics_female_percent_15to19,demographics_female_percent_20to24,demographics_female_percent_25to29,demographics_female_percent_30to34,demographics_female_percent_35to39,demographics_female_percent_40to44,demographics_female_percent_45to49,demographics_female_percent_50to54,demographics_female_percent_55to59,demographics_female_percent_60to64,demographics_female_percent_65to69,demographics_female_percent_70to74,demographics_female_percent_75to79,demographics_female_percent_80to84,demographics_female_percent_over85,demographics_median_household_income,demographics_percent_income_under10k,demographics_percent_income_10to15k,demographics_percent_income_15to25k,demographics_percent_income_25to35k,demographics_percent_income_35to50k,demographics_percent_income_50to75k,demographics_percent_income_75to100k,demographics_percent_income_100to150k,demographics_percent_income_150to200k,demographics_percent_income_over200k,demographics_percent_novehicles,demographics_percent_1vehicle_perperson,demographics_percent_lessthan1vehicle_perperson,demographics_under25y_percent_highschool,demographics_under25y_percent_somecollege,demographics_under25y_percent_bachelors,demographics_over25y_percent_highschool,demographics_over25y_percent_somecollege,demographics_over25y_percent_bachelors,demographics_over25y_percent_graduatedegree,Ride Count
-0.0125,-1.2536,1.2536,-1.2536,1.2536,-1.8119,-1.8119,-1.6954,-1.5982,-1.6954,-1.5982,-1.8119,-1.8119,-1.5982,-1.5141,-1.5982,-1.6954,-1.5982,-1.3106,-1.3106,-1.4395,-1.4395,-1.5982,-1.5982,-1.5141,-1.5982,-1.5982,-1.5982,-1.5982,-1.6954,-1.8119,-1.5141,-1.5141,-1.5982,-1.8119,-1.6954,-1.5982,-1.2536,-1.2004,-1.5141,-1.4395,-1.6954,-1.5982,-1.5141,-1.5982,-1.6954,-1.5982,-1.5982,-1.5982,-1.96,-1.5141,-1.5982,-1.8119,-1.6954,-1.6954,-1.4395,-1.3722,-1.3722,-1.3106,-1.3722,-1.5982,-1.5982,-1.5982,-1.6954,-1.5982,-1.5982,-1.5982,-1.5982,-1.6954,-1.5982,-1.3722,-1.5141,-1.8119,-1.6954,-1.5982,-1.1503,-1.2536,-1.1503,-1.5141,-0.9741,-1.4395,-1.5982,-1.3722,-1.4395,-1.6954,-1.5982,-1.6954,-0.8596,-1.5982,-1.6954,-1.0581,-1.5141,-1.8119,-1.6954,6.6981880549447785
-0.0125,-0.9741,0.9741,-0.9741,0.9741,-1.5141,-1.4395,-0.8965,-0.9346,-1.1031,-0.8965,-1.4395,-1.4395,-0.8965,-0.5978,-0.7892,-1.0581,-0.5681,-0.0878,-0.0125,-0.3451,-0.3989,-1.1503,-1.0581,-0.8596,-1.0581,-0.9346,-0.8239,-0.7892,-1.0152,-1.2536,-0.8596,-0.9346,-1.1031,-1.3106,-1.0152,-0.7225,-0.0627,0.0627,-0.4817,-0.4538,-1.2004,-1.0152,-0.7892,-0.9741,-0.9741,-0.7554,-0.7892,-0.9741,-1.4395,-0.6903,-1.1503,-1.3106,-1.3106,-1.1031,-0.3719,-0.0878,-0.1383,-0.0878,-0.3186,-1.1031,-1.1031,-0.9346,-1.1503,-0.8965,-0.7892,-0.8239,-1.0581,-1.1503,-1.0581,-0.7225,-1.0581,-1.3722,-1.2004,-0.9741,-0.2663,-0.4538,0.0627,-0.628,0.4538,-0.7225,-1.0581,-0.6588,-1.0152,-1.2536,-0.8239,-1.2004,0.2147,-1.0152,-1.3722,0.0878,-0.8596,-1.4395,-0.9741,8.019538172022763
-0.0125,-0.6903,0.6903,-0.6588,0.6903,-0.6903,-0.5978,-0.7892,-0.7225,0.0376,-0.628,-1.1503,-0.7554,-0.7554,0.4261,-0.8239,-0.7225,-0.2147,0.0376,0.113,-0.5978,-1.2536,-1.1031,-0.8596,-0.628,-0.5101,-0.3186,-0.5388,-0.628,-0.628,-0.3989,-0.3451,-0.3451,-0.3186,-0.2147,-0.7225,-0.2404,0.113,0.1891,-0.5101,-1.2004,-1.2004,-0.9346,-0.628,-0.628,-0.2924,-0.628,-0.6588,-0.628,-0.2404,-0.2663,-0.2663,-0.0878,-0.3989,-0.7225,-0.1891,-0.0627,-0.0125,-0.6588,-1.3106,-1.0152,-0.7892,-0.6588,-0.3719,-0.2924,-0.4261,-0.5978,-0.5978,-0.4817,-0.3989,-0.3719,-0.4261,-0.1383,0.1383,-0.4538,-0.5388,-0.5681,-1.5141,-0.6588,-1.0152,-1.1031,-0.0376,0.4538,0.0878,-1.0152,-0.3186,-0.5978,-0.1637,-1.2536,0.3186,-0.9346,-0.5681,-0.5388,0.2924,9.892103873898849
-0.0125,2.5758,-0.4817,1.5982,-0.4817,-0.0627,0.7554,1.6954,1.8119,2.1701,2.1701,0.4261,0.6903,1.6954,2.1701,1.1503,1.6954,1.8119,1.96,1.5982,0.7892,-0.2147,0.4817,1.5982,2.5758,2.5758,2.1701,2.1701,1.5141,1.2536,1.4395,1.1031,0.5101,-0.0627,-0.5681,1.8119,1.96,1.6954,1.8119,0.8596,-0.3989,0.3186,1.4395,2.1701,2.5758,2.5758,2.1701,1.5141,1.2004,1.5982,0.5388,0.6903,0.113,-0.0376,1.6954,1.8119,2.1701,1.3106,0.7554,-0.0125,0.628,1.6954,2.5758,2.5758,2.1701,1.8119,1.5141,1.3106,1.2536,1.3722,0.3451,-0.1637,-0.8239,2.5758,-1.2004,-1.6954,1.3722,-1.3722,0.9346,1.2004,1.3722,0.3186,2.1701,2.1701,0.3451,1.5982,1.5141,0.4538,-0.4261,1.96,0.0376,0.2663,1.8119,1.8119,9.93996723111049
-0.0125,-0.8239,0.8596,-0.8239,0.8596,-1.5141,-1.3106,-1.5982,-1.5982,-1.5141,-1.5141,-1.6954,-1.6954,-1.5982,-0.8596,-1.6954,-1.5982,-1.4395,-1.3106,-1.2536,-1.5982,-1.8119,-1.6954,-1.5982,-1.5141,-1.5141,-1.5141,-1.5982,-1.5982,-1.5982,-1.4395,-1.3722,-1.4395,-1.5982,-1.5141,-1.5982,-1.3722,-1.3106,-1.2004,-1.5141,-1.8119,-1.6954,-1.5982,-1.5982,-1.5982,-1.4395,-1.5982,-1.5982,-1.5982,-1.3722,-1.3722,-1.3722,-1.5141,-1.5982,-1.5982,-1.3722,-1.3722,-1.3722,-1.5982,-1.8119,-1.5982,-1.5141,-1.5141,-1.5141,-1.5141,-1.4395,-1.5141,-1.5141,-1.4395,-1.3722,-1.3722,-1.5982,-1.4395,-1.2004,-1.8119,-1.5982,-1.3722,-1.8119,-1.4395,-1.6954,-1.6954,-1.4395,-0.7554,-0.8596,-1.5982,-1.4395,-1.5982,-1.2004,-2.1701,-0.8239,-1.8119,-1.3722,-1.5982,-0.9346,7.846496366718419
-0.0125,-0.7225,0.7225,-0.7225,0.7225,-0.9741,-0.8596,-0.9741,-0.8596,-1.1031,-0.7554,-1.0152,-0.628,-0.8596,-1.0152,-0.6588,-0.8965,-0.8239,-0.8596,-0.6903,-0.5388,-0.9346,-0.7554,-0.7892,-0.8239,-0.8965,-0.8596,-0.9741,-0.7554,-0.5978,-0.5101,-0.5681,-0.5978,-0.5978,-0.3451,-0.8965,-0.7892,-0.9346,-0.4538,-0.3989,-0.7225,-0.7554,-0.7554,-0.7892,-0.8596,-0.8965,-0.9741,-0.7892,-0.8239,-0.5101,-0.6588,-0.8965,-0.5978,-0.1891,-0.8965,-0.9346,-0.7554,-0.9346,-0.5978,-1.0152,-0.7892,-0.8239,-0.8239,-0.8596,-0.7892,-0.8596,-0.6903,-0.4261,-0.4538,-0.4817,-0.4817,-0.5388,-0.4261,-1.0152,-0.8965,-0.3451,-0.3989,0.5388,-0.0878,-0.4261,-0.5388,-0.5681,-0.5681,-0.9346,-0.7892,-0.5388,-0.7892,-0.7554,-0.1383,-0.8239,0.0376,-0.0878,-0.8239,-0.7892,8.921448408732005
-0.0125,2.5758,-0.4817,0.2147,-0.4817,0.0627,0.0376,-0.0376,0.3451,-0.113,0.0878,-0.0878,0.3186,0.3989,-0.2663,0.6903,0.3989,0.2663,0.2404,0.1891,0.5101,0.1637,0.0627,0.0376,0.3186,0.2924,0.4538,0.2404,0.4261,0.7892,0.8965,0.6903,0.5681,0.5978,0.5388,0.2924,0.3719,0.1891,0.3451,0.628,0.2924,0.113,0.1637,0.3186,0.3451,0.3989,0.3451,0.2147,0.1891,0.6903,0.5388,0.0878,0.4817,0.6588,0.4817,0.113,0.3451,0.0376,0.3719,0.0627,0.0627,0.0376,0.3451,0.2663,0.5101,0.2404,0.628,1.1031,0.9741,0.6903,0.7892,0.6903,0.3989,-0.2924,-0.1637,0.6588,0.3186,1.5141,1.3106,0.2663,0.7554,0.2404,0.3186,-0.5101,0.4261,0.0376,0.3186,0.1383,1.0581,-0.3451,0.8596,0.8596,0.0376,-0.1637,8.679535947332258
-0.0125,2.5758,-0.4817,0.5681,-0.4817,0.113,0.1383,0.0376,0.4261,-0.0627,0.0878,-0.2404,0.2924,0.5681,-0.113,0.7554,0.4817,0.3719,0.3989,0.4538,0.3719,0.2147,0.113,0.1637,0.2147,0.4817,0.3451,0.1891,0.2924,0.7225,0.8965,0.7892,0.7554,0.7225,0.6588,0.3186,0.3989,0.5388,0.5978,0.5978,0.3186,0.1891,0.2147,0.2404,0.5681,0.3719,0.0376,0.0125,0.2147,0.5681,0.5978,0.4261,0.628,0.7554,0.5681,0.3719,0.3451,0.3451,0.2663,0.113,0.0627,0.1637,0.2147,0.4261,0.3719,0.3989,0.5388,1.0152,1.0581,0.8965,0.9346,0.7554,0.5681,-0.0627,0.1637,0.5978,0.4538,1.3106,1.0581,0.3719,0.9346,0.3186,0.5388,-0.4261,0.2663,0.2663,0.3451,-0.1891,1.3722,-0.3989,0.7554,1.2004,0.0376,-0.0878,8.707688088655082
-0.0125,2.5758,-0.4817,0.0376,-0.4817,-0.1891,0.8596,1.8119,1.8119,1.96,1.6954,0.3989,0.5978,1.8119,2.1701,1.4395,1.6954,2.1701,2.1701,1.6954,0.9741,0.7225,1.4395,1.96,2.5758,2.5758,2.1701,1.8119,1.2004,0.9741,1.3106,0.6903,0.5388,0.0627,0.5388,1.8119,2.1701,2.1701,1.8119,1.1503,0.5978,1.1031,1.6954,2.5758,2.5758,2.1701,1.8119,1.0152,1.2004,1.3722,0.7225,0.6903,-0.2404,0.1637,1.6954,2.1701,2.5758,1.6954,0.7554,0.8965,1.5982,2.1701,2.5758,2.1701,1.96,1.6954,1.3106,0.6588,1.2004,0.5978,0.3719,0.1891,0.6903,1.6954,1.1031,0.0627,-0.0627,-0.8596,0.2663,1.6954,2.5758,2.1701,2.1701,1.2004,0.2663,1.0152,1.3106,0.3719,-1.2004,2.5758,1.0581,0.7225,1.96,1.6954,10.07750554567628
-0.0125,2.5758,-0.4817,-0.3186,-0.4817,0.0627,0.5681,1.2004,1.2536,1.5141,1.1503,-0.2663,0.113,1.3106,1.4395,0.8239,1.2004,1.3722,1.5141,1.2536,0.6903,0.5388,0.8239,1.0152,1.4395,1.6954,1.5141,1.2536,0.7554,0.6903,0.7892,0.4261,0.5101,0.0878,0.113,1.2536,1.4395,1.3722,1.3722,0.8965,0.3989,0.4261,0.8239,1.3722,1.8119,1.5982,1.2536,0.5978,1.0581,0.8239,0.3719,0.7225,-0.0878,-0.0878,1.1031,1.3106,1.6954,1.2004,0.4538,0.5978,1.0581,1.1503,1.3722,1.5982,1.3722,1.2004,0.8596,0.3186,0.7225,0.4817,0.3451,0.1637,0.2147,1.5982,-0.0627,-0.5101,0.0376,-0.8965,-0.3451,1.2536,1.3722,1.5141,1.8119,1.1503,0.0125,0.8596,0.6903,1.1503,-0.628,1.5982,0.2663,0.4817,1.3722,1.5141,9.344955736332858
