"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available",
"1400000US13121000100","Census Tract 1, Fulton County, Georgia","2233","414","0","20","714","321","1105","279","378","120","36","34","609","338","0","20","528","325","73","64","8","12","0","20","862","270","0","20","161","90","612","265","89","69","0","20","316","117","0","20","13","22","140","62","163","92","0","20","446","66","0","20","12","19","280","63","118","63","36","34",
"1400000US13121000201","Census Tract 2.01, Fulton County, Georgia","1088","122","0","14","481","145","522","107","54","48","31","36","474","141","0","14","474","141","0","14","0","14","0","14","429","91","0","14","7","12","349","101","54","48","19","28","83","53","0","14","0","14","83","53","0","14","0","14","102","33","0","14","0","14","90","36","0","14","12","25",
"1400000US13121000202","Census Tract 2.02, Fulton County, Georgia","1585","366","8","14","696","376","798","136","50","40","33","35","378","145","8","14","291","130","79","65","0","14","0","14","707","390","0","14","357","355","321","92","29","34","0","14","180","76","0","14","17","27","153","70","10","17","0","14","320","111","0","14","31","39","245","102","11","19","33","35",
"1400000US13121000400","Census Tract 4, Fulton County, Georgia","1037","121","104","61","584","126","254","90","57","41","38","32","542","113","39","32","450","105","53","57","0","14","0","14","401","122","65","57","119","86","182","77","35","33","0","14","49","36","0","14","15","16","9","14","0","14","25","28","45","37","0","14","0","14","10","17","22","26","13","19",
"1400000US13121000501","Census Tract 5.01, Fulton County, Georgia","1802","330","125","78","1112","345","514","193","20","32","31","35","1067","284","125","78","803","264","139","120","0","14","0","14","635","292","0","14","309","250","306","159","20","32","0","14","69","78","0","14","0","14","69","78","0","14","0","14","31","35","0","14","0","14","0","14","0","14","31","35",
"1400000US13121000502","Census Tract 5.02, Fulton County, Georgia","861","125","40","30","353","101","269","156","113","81","86","71","331","98","0","14","288","100","43","41","0","14","0","14","343","120","19","31","65","65","157","121","43","54","59","47","29","34","0","14","0","14","13","22","16","26","0","14","158","55","21","25","0","14","56","53","54","52","27","41",
"1400000US13121000601","Census Tract 6.01, Fulton County, Georgia","1434","197","241","139","691","196","394","133","67","47","41","40","769","227","160","121","569","184","25","29","0","14","15","25","400","119","68","67","79","59","236","96","0","14","17","27","86","55","13","21","0","14","61","54","12","18","0","14","179","76","0","14","43","53","72","66","55","41","9","15",
"1400000US13121000602","Census Tract 6.02, Fulton County, Georgia","1731","206","286","163","990","172","335","119","97","82","23","37","829","161","75","55","726","163","28","33","0","14","0","14","562","150","31","37","229","119","266","98","36","58","0","14","115","83","12","20","15","25","41","45","47","54","0","14","225","154","168","150","20","21","0","14","14","22","23","37",
"1400000US13121000700","Census Tract 7, Fulton County, Georgia","367","70","46","30","112","41","169","72","19","15","21","16","130","43","33","29","92","41","0","14","5","8","0","14","147","70","5","8","17","14","125","69","0","14","0","14","51","27","8","14","3","6","19","14","0","14","21","16","39","21","0","14","0","14","25","19","14","11","0","14",
