"GEO_ID","NAME","AREALAND","AREAWATR","AREALAND_SQMI","AREAWATR_SQMI","INTPTLAT","INTPTLON",
"Geographic Identifier","Geographic Area Name","Area (Land, in square meters)","Area (Water, in square meters)","Area (Land, in square miles)","Area (Water, in square miles)","Internal Point (Latitude)","Internal Point (Longitude)",
"1400000US36005000100","Census Tract 1; Bronx County; New York","1677210","1035011","0.648","0.400","40.7929362","-73.8812065",
"1400000US36005000200","Census Tract 2; Bronx County; New York","448105","852406","0.173","0.329","40.8082452","-73.8567226",
"1400000US36005000400","Census Tract 4; Bronx County; New York","775416","690794","0.299","0.267","40.8087867","-73.8514252",
"1400000US36005001600","Census Tract 16; Bronx County; New York","485078","0","0.187","0.000","40.8188478","-73.8580764",
"1400000US36005001901","Census Tract 19.01; Bronx County; New York","205007","0","0.079","0.000","40.8067879","-73.9280462",
"1400000US36005001902","Census Tract 19.02; Bronx County; New York","469741","0","0.181","0.000","40.8036830","-73.9159297",
"1400000US36005001903","Census Tract 19.03; Bronx County; New York","908739","0","0.351","0.000","40.7999843","-73.9086940",
"1400000US36005001904","Census Tract 19.04; Bronx County; New York","82079","1138170","0.032","0.439","40.7963439","-73.8983770",
"1400000US36005002001","Census Tract 20.01; Bronx County; New York","199398","0","0.077","0.000","40.8173941","-73.8678806",
"1400000US36005002002","Census Tract 20.02; Bronx County; New York","204892","0","0.079","0.000","40.8176370","-73.8644248",
"1400000US36005002300","Census Tract 23; Bronx County; New York","104645","0","0.040","0.000","40.8090823","-73.9258441",
"1400000US36005002400","Census Tract 24; Bronx County; New York","691445","265400","0.267","0.102","40.8160168","-73.8709560",
"1400000US36005002500","Census Tract 25; Bronx County; New York","127492","0","0.049","0.000","40.8070025","-73.9208749",
"1400000US36005002701","Census Tract 27.01; Bronx County; New York","81584","0","0.031","0.000","40.8050791","-73.9163464",
"1400000US36005002702","Census Tract 27.02; Bronx County; New York","155461","0","0.060","0.000","40.8064496","-73.9137730",
"1400000US36005002800","Census Tract 28; Bronx County; New York","414588","24682","0.160","0.010","40.8225183","-73.8782336",
"1400000US36005003100","Census Tract 31; Bronx County; New York","154703","0","0.060","0.000","40.8098988","-73.9056901",
"1400000US36005003300","Census Tract 33; Bronx County; New York","152385","0","0.059","0.000","40.8082418","-73.9119436",
"1400000US36005003500","Census Tract 35; Bronx County; New York","142005","0","0.055","0.000","40.8109651","-73.9086696",
