Grid ID,Min Lat,Max Lat,Min Long,Max Long
1,40.626749,40.6295102,-74.045488,-74.04191532
2,40.626749,40.6295102,-74.04191532,-74.03834264
3,40.626749,40.6295102,-74.03834264,-74.03476996
4,40.626749,40.6295102,-74.03476996,-74.03119729
5,40.626749,40.6295102,-74.03119729,-74.02762461
6,40.626749,40.6295102,-74.02762461,-74.02405193
7,40.626749,40.6295102,-74.02405193,-74.02047925
8,40.626749,40.6295102,-74.02047925,-74.01690657
9,40.626749,40.6295102,-74.01690657,-74.01333389
10,40.626749,40.6295102,-74.01333389,-74.00976121
11,40.626749,40.6295102,-74.00976121,-74.00618854
12,40.626749,40.6295102,-74.00618854,-74.00261586
13,40.626749,40.6295102,-74.00261586,-73.99904318
14,40.626749,40.6295102,-73.99904318,-73.9954705
15,40.626749,40.6295102,-73.9954705,-73.99189782
16,40.626749,40.6295102,-73.99189782,-73.98832514
17,40.626749,40.6295102,-73.98832514,-73.98475246
18,40.626749,40.6295102,-73.98475246,-73.98117979
19,40.626749,40.6295102,-73.98117979,-73.97760711
20,40.626749,40.6295102,-73.97760711,-73.97403443
21,40.626749,40.6295102,-73.97403443,-73.97046175
22,40.626749,40.6295102,-73.97046175,-73.96688907
23,40.626749,40.6295102,-73.96688907,-73.96331639
24,40.626749,40.6295102,-73.96331639,-73.95974371
25,40.626749,40.6295102,-73.95974371,-73.95617104
26,40.626749,40.6295102,-73.95617104,-73.95259836
27,40.626749,40.6295102,-73.95259836,-73.94902568
28,40.626749,40.6295102,-73.94902568,-73.945453
29,40.626749,40.6295102,-73.945453,-73.94188032
30,40.626749,40.6295102,-73.94188032,-73.93830764
31,40.626749,40.6295102,-73.93830764,-73.93473496
32,40.626749,40.6295102,-73.93473496,-73.93116229
33,40.626749,40.6295102,-73.93116229,-73.92758961
34,40.626749,40.6295102,-73.92758961,-73.92401693
35,40.626749,40.6295102,-73.92401693,-73.92044425
36,40.626749,40.6295102,-73.92044425,-73.91687157
37,40.626749,40.6295102,-73.91687157,-73.91329889
38,40.626749,40.6295102,-73.91329889,-73.90972621
39,40.626749,40.6295102,-73.90972621,-73.90615354
40,40.626749,40.6295102,-73.90615354,-73.90258086
41,40.626749,40.6295102,-73.90258086,-73.89900818
42,40.626749,40.6295102,-73.89900818,-73.8954355
43,40.626749,40.6295102,-73.8954355,-73.89186282
44,40.626749,40.6295102,-73.89186282,-73.88829014
45,40.626749,40.6295102,-73.88829014,-73.88471746
46,40.626749,40.6295102,-73.88471746,-73.88114479
47,40.626749,40.6295102,-73.88114479,-73.87757211
48,40.626749,40.6295102,-73.87757211,-73.87399943
49,40.626749,40.6295102,-73.87399943,-73.87042675
50,40.626749,40.6295102,-73.87042675,-73.86685407
51,40.626749,40.6295102,-73.86685407,-73.86328139
52,40.626749,40.6295102,-73.86328139,-73.85970871
53,40.626749,40.6295102,-73.85970871,-73.85613604
54,40.626749,40.6295102,-73.85613604,-73.85256336
55,40.626749,40.6295102,-73.85256336,-73.84899068
56,40.626749,40.6295102,-73.84899068,-73.845418
57,40.6295102,40.6322714,-74.045488,-74.04191532
58,40.6295102,40.6322714,-74.04191532,-74.03834264
59,40.6295102,40.6322714,-74.03834264,-74.03476996
60,40.6295102,40.6322714,-74.03476996,-74.03119729
61,40.6295102,40.6322714,-74.03119729,-74.02762461
62,40.6295102,40.6322714,-74.02762461,-74.02405193
