station,date,lon,lat,tmpf,relh,sped,p01i,vsby,weather_class
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.01,4.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.02,3.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.04,3.5,bad
nyc,2019-01-01,-73.9693,40.779,44.0,92.62,0.0,0.04,2.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.04,3.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.06,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.08,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.1,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.12,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.15,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,5.75,0.16,4.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.18,5.0,bad
nyc,2019-01-01,-73.9693,40.779,44.0,92.62,0.0,0.16,2.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.18,6.0,bad
jrb,2019-01-01,-74.009,40.7012,44.0,95.88,8.05,0.18,6.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.0,8.0,good
nyc,2019-01-01,-73.9693,40.779,44.0,95.88,0.0,0.02,5.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.0,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,5.75,0.0,9.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,5.75,0.01,5.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.02,4.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,3.45,0.04,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.06,2.5,bad
nyc,2019-01-01,-73.9693,40.779,45.0,92.65,0.0,0.05,1.75,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,4.6,0.07,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.09,3.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.11,3.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.12,4.0,bad
nyc,2019-01-01,-73.9693,40.779,45.0,92.65,0.0,0.12,1.75,bad
jrb,2019-01-01,-74.009,40.7012,45.0,96.63,9.2,0.15,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,8.05,0.02,2.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.04,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.05,3.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,9.2,0.07,3.5,bad
nyc,2019-01-01,-73.9693,40.779,45.0,92.65,0.0,0.11,2.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,4.6,0.08,3.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,11.5,0.11,3.0,bad
nyc,2019-01-01,-73.9693,40.779,45.0,96.63,0.0,0.16,1.75,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.12,3.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,11.5,0.13,4.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.15,4.0,bad
nyc,2019-01-01,-73.9693,40.779,45.0,96.63,0.0,0.21,2.5,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,12.65,0.15,5.0,bad
nyc,2019-01-01,-73.9693,40.779,44.6,93.35,0.0,0.22,4.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.16,6.0,bad
nyc,2019-01-01,-73.9693,40.779,45.0,92.65,0.0,0.22,4.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,11.5,0.16,7.0,bad
jrb,2019-01-01,-74.009,40.7012,45.0,96.63,11.5,0.17,8.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,11.5,0.01,7.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,12.65,0.01,7.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,10.35,0.02,6.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,12.65,0.04,5.0,bad
