station,date,lon,lat,weather_class
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,bad
nyc,1/1/2019,-73.9693,40.779,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,good
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,good
jrb,1/1/2019,-74.009,40.7012,bad
jrb,1/1/2019,-74.009,40.7012,good
nyc,1/1/2019,-73.9693,40.779,good
