Grid ID,Min Lat,Max Lat,Min Long,Max Long,NAMELSAD,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,total_population,"Ride Count (Average, NYC Norm)","Ride Count (Model 1, NYC Norm)","Ride Count (Model 2, NYC Norm)","Ride Count (Average, ATL Norm)","Ride Count (Model 1, ATL Norm)","Ride Count (Model 2, ATL Norm)"
1,33.7,33.70276596,-84.44,-84.43636364,0,103419.5036,0,0.039927252,0,152.4795547,24623.367,30693.115,18553.62,21079.387,35914.1099674965,25579.5346971097
2,33.7,33.70276596,-84.43636364,-84.43272727,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
3,33.7,33.70276596,-84.43272727,-84.42909091,0,103417.2087,1.21477279,0.039917516,0.000000533,129.7922673,24230.555,29578.166,18882.945,23517.602,35914.1099674965,25579.5346971097
4,33.7,33.70276596,-84.42909091,-84.42545455,0,103385.132,37.61589006,0.039915717,0.0000165,108.2208044,24578.914,30348.162,18809.666,18096.707,35914.1099674965,25579.5346971097
5,33.7,33.70276596,-84.42545455,-84.42181818,0,103384.2025,38.81616209,0.039915254,0.000017,107.9780875,24573.746,30340.697,18806.795,18103.332,35914.1099674965,25579.5346971097
6,33.7,33.70276596,-84.42181818,-84.41818182,0,103384.958,37.77473942,0.03991581,0.0000166,108.0088693,24587.926,30366.49,18809.361,18094.42,35914.1099674965,25579.5346971097
7,33.7,33.70276596,-84.41818182,-84.41454545,0,103361.8348,69.52947017,0.039898565,0.0000305,107.2673181,24195.625,29667.441,18723.807,24443.066,35914.1099674965,25579.5346971097
8,33.7,33.70276596,-84.41454545,-84.41090909,0,103364.0908,66.22059049,0.039899853,0.0000291,107.6935847,24197.672,29676.61,18718.736,24413.447,35914.1099674965,25579.5346971097
9,33.7,33.70276596,-84.41090909,-84.40727273,0,103361,70.75385251,0.039898088,0.0000311,107.109587,24194.863,29664.045,18725.682,24454.047,35914.1099674965,25579.5346971097
10,33.7,33.70276596,-84.40727273,-84.40363636,0,103267.1984,163.5490163,0.039861512,0.0000674,104.5258007,24197.066,29679.61,18714.523,23805.344,35914.1099674965,25579.5346971097
11,33.7,33.70276596,-84.40363636,-84.4,0,102193.158,1226.064496,0.039442708,0.000482972,74.94114474,24342.857,30002.738,18682.977,17869.48,35914.1099674965,25579.5346971097
12,33.7,33.70276596,-84.4,-84.39636364,0,102193.158,1226.064496,0.039442708,0.000482972,74.94114474,24342.857,30002.738,18682.977,17869.48,35914.1099674965,25579.5346971097
13,33.7,33.70276596,-84.39636364,-84.39272727,0,102193.158,1226.064496,0.039442708,0.000482972,74.94114474,24342.857,30002.738,18682.977,17869.48,35914.1099674965,25579.5346971097
14,33.7,33.70276596,-84.39272727,-84.38909091,0,102241.9477,1177.95861,0.039462359,0.000463584,75.66207838,24329.008,29972.508,18685.508,18244.238,35914.1099674965,25579.5346971097
15,33.7,33.70276596,-84.38909091,-84.38545455,0,102663.0917,762.7175075,0.039631987,0.000296232,81.88210124,24230.717,29753.977,18707.457,22140.049,35914.1099674965,25579.5346971097
16,33.7,33.70276596,-84.38545455,-84.38181818,0,103307.0749,127.7137922,0.039889669,0.0000409,88.14558729,24304.863,29865.621,18744.104,27050.676,35914.1099674965,25579.5346971097
17,33.7,33.70276596,-84.38181818,-84.37818182,0,103251.6538,182.099279,0.03985794,0.0000664,69.36661056,24506.086,30254.242,18757.928,26641.639,35914.1099674965,25579.5346971097
18,33.7,33.70276596,-84.37818182,-84.37454545,0,103241.0958,192.4887571,0.03985294,0.0000708,67.78305184,24521.568,30284.44,18758.697,26340.475,35914.1099674965,25579.5346971097
19,33.7,33.70276596,-84.37454545,-84.37090909,0,103241.0958,192.4887571,0.03985294,0.0000708,67.78305184,24521.568,30284.44,18758.697,26340.475,35914.1099674965,25579.5346971097
20,33.7,33.70276596,-84.37090909,-84.36727273,0,103241.0958,192.4887571,0.03985294,0.0000708,67.78305184,24521.568,30284.44,18758.697,26340.475,35914.1099674965,25579.5346971097
21,33.7,33.70276596,-84.36727273,-84.36363636,0,103256.0115,176.5237905,0.039856492,0.000065,78.51678151,24135.684,29706.541,18564.824,27069.637,35914.1099674965,25579.5346971097
22,33.7,33.70276596,-84.36363636,-84.36,0,103399.6746,22.75481064,0.039890702,0.00000837,181.9003148,43418.742,69144.92,17692.564,12015.306,520.309755469084,25579.5346971097
23,33.7,33.70276596,-84.36,-84.35636364,0,103425.5398,0,0.039924313,0,145.3413603,33991.195,50164.793,17817.602,15612.002,16071.6788134517,25579.5346971097
24,33.7,33.70276596,-84.35636364,-84.35272727,0,103429.9001,0,0.03995134,0,96.24833897,24125.41,29588.041,18662.781,21590.604,35914.1099674965,25579.5346971097
25,33.7,33.70276596,-84.35272727,-84.34909091,0,103357.4169,72.65979325,0.039921674,0.0000277,85.83458014,24174.453,29690.736,18658.172,24159.035,35914.1099674965,25579.5346971097
26,33.7,33.70276596,-84.34909091,-84.34545455,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
27,33.7,33.70276596,-84.34545455,-84.34181818,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
28,33.7,33.70276596,-84.34181818,-84.33818182,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
29,33.7,33.70276596,-84.33818182,-84.33454545,0,102760.9377,666.1342457,0.039676599,0.000253406,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
30,33.7,33.70276596,-84.33454545,-84.33090909,0,102762.1645,659.1969346,0.039675889,0.000249578,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
31,33.7,33.70276596,-84.33090909,-84.32727273,0,102760.0848,670.9575451,0.039677092,0.000256067,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
32,33.7,33.70276596,-84.32727273,-84.32363636,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
33,33.7,33.70276596,-84.32363636,-84.32,0,103071.7679,351.4676141,0.039801576,0.000135847,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
34,33.70276596,33.70553191,-84.44,-84.43636364,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
35,33.70276596,33.70553191,-84.43636364,-84.43272727,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
36,33.70276596,33.70553191,-84.43272727,-84.42909091,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
37,33.70276596,33.70553191,-84.42909091,-84.42545455,0,103413.3394,0,0.039933159,0,112.4591287,24977.18,31051.758,18902.604,21683.957,35914.1099674965,25579.5346971097
38,33.70276596,33.70553191,-84.42545455,-84.42181818,0,103412.4021,0,0.039936116,0,109.0336383,25398.023,31890.18,18905.867,24559.512,35914.1099674965,25579.5346971097
39,33.70276596,33.70553191,-84.42181818,-84.41818182,0,103412.3557,0,0.039935962,0,109.1391881,25374.111,31846.627,18901.596,24302.424,35914.1099674965,25579.5346971097
40,33.70276596,33.70553191,-84.41818182,-84.41454545,0,103408.5431,1.021374389,0.039925234,0.000000449,116.0928767,24730.172,30703.273,18757.07,28487.674,35914.1099674965,25579.5346971097
41,33.70276596,33.70553191,-84.41454545,-84.41090909,0,103396.7476,18.3220178,0.039918499,0.00000805,113.8641205,24552.05,30358.266,18745.838,26775.746,35914.1099674965,25579.5346971097
42,33.70276596,33.70553191,-84.41090909,-84.40727273,0,103361.8248,69.5442097,0.039898559,0.0000305,107.2654193,24195.62,29667.412,18723.826,24443.2,35914.1099674965,25579.5346971097
43,33.70276596,33.70553191,-84.40727273,-84.40363636,0,103332.6443,95.70368056,0.039888207,0.0000404,107.3770403,24207.633,29698.1,18717.166,24126.127,35914.1099674965,25579.5346971097
44,33.70276596,33.70553191,-84.40363636,-84.4,0,102337.7403,1080.619819,0.039503838,0.000425678,94.15127488,24166.055,29726.125,18605.982,16165.3125,35914.1099674965,25579.5346971097
45,33.70276596,33.70553191,-84.4,-84.39636364,0,102242.1572,1176.77836,0.039463486,0.000463557,81.68795245,24233.297,29811.182,18655.414,17166.895,35914.1099674965,25579.5346971097
46,33.70276596,33.70553191,-84.39636364,-84.39272727,0,102193.158,1226.064496,0.039442708,0.000482972,74.94114474,24342.857,30002.738,18682.977,17869.48,520.309755469084,25579.5346971097
47,33.70276596,33.70553191,-84.39272727,-84.38909091,0,102229.2551,1189.757512,0.039458486,0.00046867,82.28859587,24190.441,29758.318,18622.562,16376.84,520.309755469084,25579.5346971097
48,33.70276596,33.70553191,-84.38909091,-84.38545455,0,102237.647,1181.316858,0.039462154,0.000465345,83.99673275,24171.934,29735.31,18608.555,16042.098,520.309755469084,25579.5346971097
49,33.70276596,33.70553191,-84.38545455,-84.38181818,0,102332.818,1088.318541,0.03949738,0.000428045,73.98717658,24310.2,29927.35,18693.047,18919.484,15348.0859314929,25579.5346971097
50,33.70276596,33.70553191,-84.38181818,-84.37818182,0,102970.9623,458.9200148,0.039747192,0.000177069,69.62823804,24426.803,30114.453,18739.152,25427.586,35914.1099674965,25579.5346971097
51,33.70276596,33.70553191,-84.37818182,-84.37454545,0,103238.4396,195.1085576,0.0398519,0.0000719,67.80119543,24520.617,30282.734,18758.5,26332.475,35914.1099674965,25579.5346971097
52,33.70276596,33.70553191,-84.37454545,-84.37090909,0,103241.0958,192.4887571,0.03985294,0.0000708,67.78305184,24521.568,30284.44,18758.697,26340.475,35914.1099674965,25579.5346971097
53,33.70276596,33.70553191,-84.37090909,-84.36727273,0,103241.2546,192.3116459,0.039852999,0.0000708,67.72068384,24521.78,30284.844,18758.715,26343.723,35914.1099674965,25579.5346971097
