Component,Explained_Variance_Ratio,Cumulative_Variance
Component_1,0.2758675773842334,0.2758675773842334
Component_2,0.20434275711531386,0.48021033449954725
Component_3,0.1398158096223367,0.620026144121884
Component_4,0.06284941547635725,0.6828755595982412
Component_5,0.041685309486659515,0.7245608690849007
Component_6,0.031430065441059564,0.7559909345259602
Component_7,0.020139769691110594,0.7761307042170709
Component_8,0.016978037646129627,0.7931087418632005
Component_9,0.014285344961058502,0.807394086824259
Component_10,0.012766415567957212,0.8201605023922162
Component_11,0.012311051666537773,0.832471554058754
Component_12,0.011277281226740059,0.843748835285494
Component_13,0.01032458534776415,0.8540734206332582
Component_14,0.009038380724446479,0.8631118013577047
Component_15,0.0087377891109433,0.871849590468648
Component_16,0.007789245392009461,0.8796388358606574
Component_17,0.007465792364962654,0.8871046282256201
Component_18,0.007094347461240902,0.894198975686861
Component_19,0.006468615982654633,0.9006675916695156
Component_20,0.006367879822111125,0.9070354714916268
Component_21,0.006029037403092986,0.9130645088947198
Component_22,0.0059423910253571955,0.919006899920077
Component_23,0.0054275721672817105,0.9244344720873587
Component_24,0.005066227654172875,0.9295006997415316
Component_25,0.004730597530143007,0.9342312972716746
Component_26,0.004493465365264673,0.9387247626369393
Component_27,0.004090702336601462,0.9428154649735407
Component_28,0.003947393127920028,0.9467628581014608
Component_29,0.003748353301368156,0.9505112114028289
