Feature,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29
total_population,0.061223121907413414,-0.023595857331586888,-0.05866602464678143,-0.031371297791319516,-0.06871724205001184,0.2608387504531238,0.05672813034758814,0.23863199241089986,-0.06052576985827361,0.3042984406538685,0.008374288225942503,-0.2562488094358504,0.27077344097458456,-0.05361217816847301,0.14165266462395193,0.181997109434264,0.44219883387292924,0.055641157272828666,-0.07380470075600315,0.0023824503111991293,0.2564153338972387,0.0858113623113585,0.17469934208746576,-0.05586096063508769,-0.07835237248858494,0.22965682935380452,0.16151535244802068,-0.08831253182447962,-0.007165618552576763
population_density,0.07294872620481418,-0.02351674772340484,-0.08726523968551947,-0.0035110825964200093,-0.09887436621364401,0.2859628460679938,-0.07480262193444834,0.27876096189382604,-0.004878963358129184,0.2947031255498751,-0.0697854322661148,-0.19677736902054993,0.0253824516774041,-0.08234186387167595,0.007246940727734002,0.013055150684482555,-0.013965613021037854,-0.007004840158881816,0.13370654253256883,0.2251747837565677,-0.02131967175389103,0.17335308404634545,-0.25533534797519963,0.06714630486811549,0.0019094037565857043,-0.030899671883963906,-0.259614971417403,0.27988007024231043,0.18946500350631543
male_percent,-0.0751117686897046,-0.03127139584617913,0.03587292801411124,-0.1101223732542922,0.24973635091284774,-0.1436769635356313,-0.07811868163390205,-0.22081715949720176,-0.12089876581185928,0.015164568263747541,-0.16607970569646563,-0.24223797577608708,0.16222770978263787,0.03195015360291335,-0.029840127309206342,0.26267874498885385,-0.12362665389529535,0.12427458505167943,-0.03435491089363585,0.27345068566545705,0.04762562127991002,-0.07501222483485184,0.21362141569971002,0.06425290747335513,0.3554487751496356,0.0680237696461869,-0.24651706204102042,0.13684290890890105,0.08548183376889404
percent_inhouseholds,0.02820638771634401,-0.0186234888221255,0.17208673371438876,-0.203550624588414,-0.21673343846916793,0.020058573026130067,-0.088155896978555,0.13987623014046088,0.04859951067541923,-0.08641646672363083,0.04961350552489302,0.0034792681386046354,0.1635819981974585,0.027481110659021556,-0.0011565967481822065,-0.09709198598666703,-0.04640976205744382,-0.06461619976657959,-0.07991665637602613,0.0826539954835673,0.08475558458601547,-0.0637556799154611,0.08610367878169876,-0.03808327316285979,-0.054020722972441905,-0.03734833178614404,-0.009053015085917854,0.037493213690800976,0.07178465769780717
percent_marriedhouseholds,0.05922635306690799,-0.14548417697853833,0.13634983729615077,0.15115315803875945,-0.06672195629915637,-0.03699665907033778,-0.058505964811603514,0.04551178183355445,0.04538068058645194,0.07886618468807025,-0.06884598897679296,-0.0906019163689798,-0.02442301852395283,0.035065305362724085,0.03928157398999216,-0.004888532594923875,-0.040231105347372315,-0.08897545531478895,-0.01353636029495202,0.11451175277981211,-0.05651436416555097,0.03642990575159311,0.08041979012854669,-0.028555668928149758,0.002875881548898982,-0.10966412093042621,-0.15727116386095039,0.030368758879227284,-0.041442325213227424
percent_cohabitingcouple,-0.12222980792715041,-0.13458646600273128,0.07812413473778174,-0.07650610367811703,-0.051272678222087115,-0.015145559907625394,0.13931350245133806,0.0490278808177915,0.015332657600414565,-0.07214553441741545,-0.04204155283924874,0.0011052853525506112,0.025288035734578773,0.06436881021814071,-0.0628263310802607,-0.019861585835071083,0.020019660295188507,0.11605357313122344,-0.0880694945818476,0.08429581488999344,0.08044938347291897,-0.04124648631253171,0.11497930590283469,-0.019877445389517058,-0.12393269116369016,0.006216099213547391,-0.13534857417575535,-0.025599087589839815,-0.06810290030795735
percent_solomale,0.0015722867335726258,-0.16235757851236107,-0.05219580115069604,-0.14216579743486646,0.10375400473697582,0.20773432378717488,0.060231978344681206,-0.03178455811427516,0.01985683716451328,-0.14748886214817972,-0.10297158109975257,-0.02218550192579813,0.1322251662740958,0.03818785257887654,0.07340525168081662,0.2215660487799172,-0.031966507132639876,0.006200288949930258,-0.044062437309918163,-0.06315459463470133,-0.029019111651345852,0.03533597289855976,0.12423239068473102,0.06991089400287819,0.06051585653040827,0.01790268480825316,-0.08134911525129146,-0.10455716033842767,-0.039993992735045246
percent_solofemale,0.07870445038950351,-0.17255841810780345,-0.03370311952173538,-0.054970877779014715,-0.04250581607921616,0.21630489902923514,0.07044421062543049,0.07758573952990211,0.04544111151844564,-0.02933300590264315,-0.022601789724600252,0.021269510711083066,0.057206269643969944,-0.009090965637243011,-0.0008848560223559399,0.030123574463658168,-0.07938681204787573,-0.012904885862109146,0.06325091702496131,-0.16141212183522533,-0.04675456136598624,0.06570448744329474,-0.04480558932359334,0.019860967145630615,-0.05637714582980245,-0.022995199786866455,-0.0760439835066709,-0.10992594615814764,0.024845336603044017
percent_occupiedhousingunits,-0.029971010607032462,0.11523558204434124,0.05146995883696326,-0.0840081106397787,-0.11933964857987955,-0.03154828249395347,0.03021547038288422,0.19735432421845378,-0.1486138055845859,0.4188540165483068,0.0989720595653823,-0.07194447826015937,-0.21224818939333773,0.1878863996102881,-0.03158370507184748,-0.12597251104223717,-0.12495854514765628,0.3527282813018179,-0.032960963633460134,0.07042675853378291,-0.06470520804331162,-0.26101559760223453,-0.09609461836884114,0.09456611678641844,0.10308432613230115,-0.23444110418619213,0.028180910966334086,-0.1978837740378582,-0.027855497774550028
percent_owneroccupied,0.08755128397589027,-0.11961963359442704,0.07916495039687041,0.1840034689506615,0.022882757721261526,-0.058122422481886704,-0.07848269447720752,0.19325555432105057,0.015357475563365926,-0.11227580390104194,0.012652567418044477,-0.0205340577313477,0.05379832474606194,0.12732512147503683,-0.041780809797032456,-0.03743156101653905,-0.05192368611288896,0.2198719340130953,0.06426946405114561,0.08471344820247181,-0.007506382529131536,-0.1382752286578623,-0.11265376159834556,0.2770921979576524,-0.09551809430660645,0.0910949261672199,0.25336745621049683,0.2437412773217278,0.07950205809563836
