Component,Explained_Variance_Ratio,Cumulative_Variance
Component_1,0.2758675773842333,0.2758675773842333
Component_2,0.204342757115314,0.4802103344995473
Component_3,0.13981580962233686,0.6200261441218842
Component_4,0.06284941547635703,0.6828755595982412
Component_5,0.04168530948665951,0.7245608690849007
Component_6,0.03143006544105955,0.7559909345259602
Component_7,0.020139769691110667,0.7761307042170709
Component_8,0.01697803764612965,0.7931087418632006
Component_9,0.014285344961058504,0.8073940868242591
Component_10,0.012766415567957249,0.8201605023922163
Component_11,0.012311051666537766,0.8324715540587541
Component_12,0.011277281226740089,0.8437488352854942
Component_13,0.010324585347764134,0.8540734206332583
Component_14,0.009038380724446477,0.8631118013577048
Component_15,0.008737789110943304,0.8718495904686481
Component_16,0.007789245392009461,0.8796388358606575
Component_17,0.007465792364962672,0.8871046282256202
Component_18,0.007094347461240913,0.8941989756868611
Component_19,0.00646861598265461,0.9006675916695157
Component_20,0.006367879822111145,0.9070354714916269
Component_21,0.0060290374030929905,0.9130645088947199
Component_22,0.005942391025357199,0.9190068999200771
Component_23,0.0054275721672817105,0.9244344720873588
Component_24,0.005066227654172885,0.9295006997415317
Component_25,0.004730597530143009,0.9342312972716748
Component_26,0.0044934653652646695,0.9387247626369394
Component_27,0.0040907023366014515,0.9428154649735409
Component_28,0.003947393127920021,0.9467628581014609
Component_29,0.003748353301368151,0.950511211402829
