total_population,population_density,male_percent,percent_inhouseholds,percent_marriedhouseholds,percent_cohabitingcouple,percent_solomale,percent_solofemale,percent_occupiedhousingunits,percent_owneroccupied,percent_renteroccupied,median_age,percent_under5,percent_5to9,percent_10to14,percent_15to19,percent_20to24,percent_25to29,percent_30to34,percent_35to39,percent_40to44,percent_45to49,percent_50to54,percent_55to59,percent_60to64,percent_65to69,percent_70to74,percent_75to79,percent_80to84,percent_over85,male_median_age,male_percent_under5,male_percent_5to9,male_percent_10to14,male_percent_15to19,male_percent_20to24,male_percent_25to29,male_percent_30to34,male_percent_35to39,male_percent_40to44,male_percent_45to49,male_percent_50to54,male_percent_55to59,male_percent_60to64,male_percent_65to69,male_percent_70to74,male_percent_75to79,male_percent_80to84,male_percent_over85,Female_median_age,female_percent_under5,female_percent_5to9,female_percent_10to14,female_percent_15to19,female_percent_20to24,female_percent_25to29,female_percent_30to34,female_percent_35to39,female_percent_40to44,female_percent_45to49,female_percent_50to54,female_percent_55to59,female_percent_60to64,female_percent_65to69,female_percent_70to74,female_percent_75to79,female_percent_80to84,female_percent_over85,median_household_income,percent_income_under10k,percent_income_10to15k,percent_income_15to25k,percent_income_25to35k,percent_income_35to50k,percent_income_50to75k,percent_income_75to100k,percent_income_100to150k,percent_income_150to200k,percent_income_over200k,percent_novehicles,percent_1vehicle_perperson,percent_lessthan1vehicle_perperson,under25y_percent_highschool,under25y_percent_somecollege,under25y_percent_bachelors,over25y_percent_highschool,over25y_percent_somecollege,over25y_percent_bachelors,over25y_percent_graduatedegree,bike_volume
-0.779101557,-0.979412692,0.545539373,-2.433096644,0.252028136,0.72857076,2.294699202,1.919471807,-2.027049062,1.448882812,-1.799300175,-0.191831792,-1.069356428,-1.470372303,-1.539451558,3.330301471,1.212135049,-0.593974173,-0.335773644,0.204319162,0.002862382,0.724506671,-0.795308104,-1.027100139,-1.148679194,0.204574517,1.282826525,0.655291487,-0.212962743,-0.330704132,-0.082676422,-1.340702539,-1.728173856,-1.806080669,2.953656646,2.010047473,-0.503328142,-0.347155476,-0.285334797,-0.283532365,1.207071666,-0.639667977,-0.903124352,-0.718870924,0.068282334,1.285539343,0.779595194,0.686683531,-0.738700314,-0.282284936,-0.735451306,-1.100355163,-1.12102131,3.446073471,0.445322171,-0.653505065,-0.312877735,0.738939273,0.335148325,0.073806171,-0.773542691,-0.985097157,-1.403737011,0.327839281,1.218217121,0.538295589,-0.893882028,-0.062005483,1.031118091,0.494756185,-0.617860755,-0.852663909,-0.295959775,-0.912658834,-1.050178316,-0.560452121,0.889493182,0.145536332,1.281715598,0.611608456,0.644716084,0.45153646,-0.611764726,-1.640714554,2.559599181,-1.179533696,-1.215546169,0.264719922,2.85814073,1
2.096218652,1.532142085,-1.326290034,-0.019745047,-1.516923754,0.09968564,0.475438847,0.342770544,0.724791714,-1.309313357,1.423358575,-0.797173028,0.575761821,1.390971806,1.287281667,0.947169607,0.005784245,-0.430952421,-0.370671255,-0.816026953,-0.372016786,-0.160187066,-0.382530677,-0.025026386,-0.381980138,-0.670324935,-0.463512785,-0.294645161,-0.165684389,-0.228765042,-0.971361061,0.509513059,1.441214192,1.100931607,1.176878248,0.381941315,-0.543592487,-0.498635958,-1.087468101,-0.731088766,-0.348054934,-0.693554959,-0.181569058,0.115875634,-0.377371452,-0.513750936,-0.300411809,-0.007083146,-0.376556298,-0.683878252,0.602910587,1.271217315,1.368517509,0.723692276,-0.242036407,-0.338492051,-0.24707911,-0.499685315,0.028424612,0.035848551,-0.083718436,0.09246106,-0.717229581,-0.850645253,-0.42023252,-0.300780568,-0.288036554,-0.167348298,-1.479639015,1.959822352,2.516627038,1.044528161,0.26046738,-0.102228454,-0.905544096,-0.116847672,-1.321998403,-1.241535589,-0.926250025,1.080407248,-1.044666875,0.773030677,2.449803414,-1.038419977,-0.972837732,0.256340887,0.98566299,-1.211174028,-0.829806595,1
-0.756896318,0.941206485,-0.233643107,-1.713499775,-1.41374103,-0.140132544,-0.384008572,-0.485816265,0.314566738,-1.381025219,1.418965979,-1.455926726,1.348380901,1.926901241,1.838747062,1.108924412,0.357149277,-0.162307622,-0.278700037,-0.113465759,0.042097327,-1.123796718,0.473698035,-0.667663205,-1.16904647,-1.644038025,-1.292620644,-1.342437201,-1.092274123,-1.094972404,-1.803321148,1.650464393,1.945804315,1.648038765,1.455392137,0.535928362,0.003189409,-0.548583065,-0.728342732,-1.039740817,-1.492236174,0.276661259,-0.685984143,-1.50081373,-1.018375449,-1.087937764,-0.904327477,-1.217311135,-1.056867227,-1.085471569,0.963212064,1.753025089,1.856886818,0.724225202,0.191057744,-0.283780152,-0.019320624,0.535565784,1.145107807,-0.510710498,0.564268528,-0.554990383,-0.753095679,-2.03381964,-1.372190308,-1.590664446,-0.948324219,-0.927421266,-1.710011017,6.145725686,0.289490974,0.535096957,1.458925868,-0.552467554,-1.725138007,-0.911638976,-2.169258166,-1.507549382,-0.991740531,0.928448577,-1.256107798,0.099190286,-0.894766823,1.191126617,-1.065668024,0.369699407,0.922044228,-1.471079881,-1.144532953,1
0.716911849,0.415974008,-0.211338114,0.265639129,-1.55543876,0.213656668,0.424251935,-0.192167225,0.602793111,-1.221921858,1.314879796,-1.260081032,1.345207528,1.359306808,1.715991579,0.992934192,0.22096006,-0.280804968,-0.086790146,-0.307750349,-0.2377185,-0.744461771,-0.378215422,-0.748234335,-0.594751896,-1.07511979,-1.161292978,-1.107463129,-0.572649057,-0.667568234,-1.425157472,1.267825516,1.591311314,1.667565717,0.988805473,0.430283104,-0.165886174,-0.277283023,-0.746834502,-0.661884269,-0.568723795,-0.451028725,-0.485545483,-0.669613999,-1.174900827,-1.226019057,-1.15546036,-0.443493009,-0.719777061,-0.989089173,1.306402719,1.021764316,1.601459483,0.926904004,0.041700684,-0.359877635,0.093960074,0.177935439,0.255571448,-0.719982504,-0.237288333,-0.856521512,-0.460097315,-0.899091758,-1.03336709,-1.004957627,-0.638330612,-0.535639535,-1.464526612,2.348513376,2.331032366,0.921562008,0.45307678,1.284507973,-0.85733269,-1.188891756,-1.882051467,-1.507549382,-0.8046248,0.608194361,-0.96664825,-0.163251541,0.597426052,-0.927470975,-0.430513392,0.927045463,0.947491733,-1.833091605,-1.071903794,1
1.648499072,0.913722029,-0.095396298,0.006293843,-0.953694722,0.273685229,-0.641044105,-0.590434785,1.352326556,-1.153672552,1.384790489,-0.565719026,0.53828267,0.829520738,0.892339666,0.586425711,0.20645144,-0.352201376,-0.286104291,-0.026861365,0.202280202,-0.090564048,-0.221084954,-0.009095587,0.015087451,-0.273569166,-0.781391043,-0.810679876,-0.516592001,-0.662293512,-0.687738304,0.712085828,0.821566111,0.655357919,0.770504706,0.274285804,-0.358797644,-0.262705781,0.061940186,0.059661127,-0.415775946,-0.832624788,0.045430261,-0.141275447,-0.056761033,-0.955707294,-0.726716371,-0.548037194,-0.783890635,-0.475049728,0.32533201,0.761213269,1.040374563,0.375775998,0.135292507,-0.336839885,-0.294720407,-0.111321785,0.322301376,0.247746502,0.346027858,-0.044078079,0.154146178,-0.434525172,-0.585704512,-0.823293292,-0.466161753,-0.497109847,-0.687386158,0.016367232,1.299950855,1.044528161,-0.681178575,0.27597239,1.826435607,-0.652869714,-1.020431369,-0.215482387,-0.963673171,0.174899273,-0.957786076,-0.24210108,0.61672165,-0.09799511,-1.065668024,0.473611384,0.642121676,-1.41538577,-1.055763981,1
0.911078587,6.183878006,-1.532948365,0.01303869,0.998007162,-0.21048552,0.794634561,2.075178756,0.53681054,0.120581189,-0.020612523,1.054458988,-0.116540422,-0.396121175,-0.244657355,-0.822466348,-1.036999337,-0.494122618,-0.193516193,-0.198280964,0.235085623,-0.102540791,-0.073735354,0.180960885,0.217195679,0.951495769,1.560361504,1.64859767,1.48527491,1.058785186,1.146355524,0.079246331,-0.660256219,-0.300846911,-0.845256434,-1.381101883,-0.802463864,-0.082546239,-0.035401588,0.934338033,0.607229104,0.077509991,1.086078418,0.413004691,0.884240349,1.341390553,1.510549282,0.738486757,0.858601433,0.874303817,-0.243355348,-0.133660876,-0.158589742,-0.735740211,-0.722929042,-0.273782094,-0.26261974,-0.310875798,-0.396446982,-0.627156707,-0.160656873,-0.477630144,0.043364125,0.89972842,1.578647771,1.592877699,1.814278352,0.87537022,0.535045655,1.840225114,-1.09215825,-0.272966332,-0.895189019,-1.885175289,-0.809121283,0.27130622,-0.891188354,2.368651602,0.608098967,1.241060729,-0.169036873,0.343308028,1.716570708,-2.206026131,1.318604747,-0.414363688,-1.86445754,0.30184933,1.881682029,2
0.875446925,1.835352055,-0.079041834,-0.320864895,-1.221534307,-0.034175285,-0.647275265,-0.53025852,1.054346592,-1.235640066,1.411052312,-0.957410414,1.381147509,1.194669303,0.727104705,0.503113473,0.175277195,-0.057142069,-0.243956516,-0.254079349,0.112754987,-0.390641576,-0.18614453,0.34628893,-0.288612485,-0.844699221,-0.905622772,-1.058725542,-1.013824971,-0.878503889,-1.122626531,1.480222701,0.989375464,0.769818659,0.464018105,0.500709724,0.113404179,-0.21632199,-0.267872846,-0.07056558,-0.536073572,-0.546678662,0.162537298,-0.662113568,-1.090145748,-0.586068339,-1.308239855,-1.104400593,-1.014433427,-0.699941985,1.172613225,1.29144186,0.604209157,0.499407542,-0.093895841,-0.189129207,-0.258116248,-0.211806877,0.293288665,-0.149407636,0.164397392,0.463583634,0.072476846,-0.558694496,-1.103639865,-0.801717136,-0.894251259,-0.668086081,-1.370024473,1.092742375,0.578193797,3.222785723,-0.46716813,-0.17426671,0.572939037,-0.135331191,-1.637925772,-1.241535589,-0.963673171,0.792596086,-0.853180245,0.17514683,1.356386221,-0.219510683,-0.381655344,0.539737187,-0.083132209,-1.025526991,-0.741037622,2
-1.296018858,-0.689753465,1.614253338,-1.433202714,-1.200855108,-0.570537884,-0.431238704,-0.816929191,0.922661084,-1.261130991,1.412077965,-0.601327334,0.885410241,1.236142997,1.123284328,-0.010898453,0.169504415,-0.546111042,-0.082112425,-1.006610013,-0.066650882,0.276764359,1.325818943,0.517727517,0.317506172,-0.317476835,-1.175316868,-1.284409195,-0.954355368,-0.524306569,-0.215033709,0.707171392,0.377364948,1.176685303,0.029592151,-0.036980761,-0.692800041,-0.313655256,-1.110262652,0.222345643,0.709411791,1.445156891,0.952103249,1.308462678,-0.402080061,-1.298436804,-1.393651272,-1.026592322,-0.278969548,-0.828451846,0.960257703,2.09811454,0.867516996,-0.091641689,0.341860752,-0.399159444,0.176481019,-0.769081072,-0.404538432,-0.276352673,0.969083221,0.019845212,-0.743880311,-0.162556529,-0.933454898,-1.061990162,-0.798332668,-0.539141449,-0.896634819,0.733950661,-0.12294163,0.868862229,1.437524824,1.860814021,1.199687322,-1.392210462,-1.120953714,-1.507549382,-0.991740531,0.129454287,-0.756029794,-0.407786095,-0.901198688,1.006211615,-0.86046422,0.54918373,-0.566634799,-1.099785806,-1.22523202,2
-0.206412959,2.455218921,0.622882534,0.058920343,-1.259007019,-0.069984288,-0.6953715,-0.853659401,0.744824855,-1.258853789,1.377283176,-0.743760566,0.833405133,0.905579643,0.39556272,0.98607676,0.406682825,-0.328207169,-0.280049655,-0.379562614,0.029043967,-0.021897418,0.756909333,-0.260976273,0.006176173,-0.675159125,-0.69263102,-0.891271727,-0.907971184,-0.995510424,-0.66883012,0.718872529,0.586659149,0.551240407,1.064514066,0.164586098,-0.3690738,-0.337063361,-0.306819609,0.50092496,-0.466232172,0.459275806,-0.013215307,0.369019944,-0.741846637,-0.975600441,-0.753277839,-0.979189258,-0.917620048,-0.780260648,0.855588178,1.140865505,0.151587205,0.821394371,0.574501977,-0.287160025,-0.213453718,-0.425992698,-0.494818778,0.451527407,0.90651804,-0.436960705,-0.32124948,-0.537930187,-0.377168882,-0.932277323,-0.787149585,-0.857106669,-0.918835591,1.660829256,0.743166839,-0.132433586,0.346071558,0.960335822,0.589009506,0.289789739,-1.408160413,-1.507549382,-0.77655744,0.111986123,-1.174170003,-0.670055679,0.147195443,0.219002036,-0.992380951,-0.074288128,1.507336836,-1.313279899,-1.112253327,2
-0.001918203,2.557246303,-0.043332753,0.181010685,-1.322038985,0.468900945,-0.18714905,-0.569035527,0.949421318,-1.393883397,1.547840909,-0.903997952,0.731903822,1.554513198,1.134493215,0.778430578,0.173250814,-0.357070664,-0.305024955,0.355090595,0.047013348,-0.629289399,0.335397883,-0.211165129,-0.551929038,-0.640182985,-1.130660156,-0.953331598,-0.967605328,-0.922084625,-1.046993796,1.114853301,1.639426873,0.90991558,0.79154675,0.402649147,-0.549809516,-0.448376947,0.227978463,0.185633732,-0.791059508,0.057291419,-0.406815502,-0.424108875,-0.950846193,-0.771653998,-1.406289136,-0.847694233,-0.941711215,-0.764196916,0.306309255,1.336188814,1.247257981,0.707941059,-0.022053716,-0.197700653,-0.157912757,0.463808734,-0.092493261,-0.315490199,0.52360966,-0.008193725,-0.594265862,-0.313554507,-1.346852399,-0.544895127,-1.004237535,-0.756868944,-1.373029941,1.840225114,0.268869344,2.643088146,-0.531371264,1.392565357,0.476516224,-1.761880836,-1.250196728,-1.507549382,-0.991740531,0.648905979,-1.049566765,-0.064770514,0.713199637,-0.488958257,-0.352340515,1.059297069,0.01865781,-1.229738732,-1.22523202,2
