num_layers,learning_rate,batch_size,dropout_percent,weight_decay,feature_count,final_train_loss,final_test_loss,final_train_r2,final_test_r2,final_train_mae,final_test_mae,window_size
2,2e-05,64,0.4,0.002,0,3.493010337352753,3.2597848400473595,0.581298,0.56772196,1.4668559,1.4692298,20
2,2e-05,64,0.5,0.002,0,4.861607336997985,5.04621427282691,0.41605157,0.32487425,1.7355944,1.9487064,20
2,2e-05,64,0.4,0.002,35,3.9794210338592526,3.594296748936176,0.5239062,0.5290386,1.5557729,1.4900284,20
2,2e-05,64,0.5,0.002,35,6.027676017284393,4.636138853430748,0.2772552,0.42991748,1.939588,1.7924919,20
2,2e-05,96,0.4,0.002,0,4.531643018126488,6.624161338806152,0.4633693,0.35811526,1.6532004,1.7700132,20
2,2e-05,96,0.5,0.002,0,5.887795886397361,8.359207510948181,0.31664568,0.1899883,1.8859131,2.086389,20
2,2e-05,96,0.4,0.002,35,6.052460387349129,6.216356301307679,0.29938063,0.39763173,1.9005343,1.7803309,20
2,2e-05,96,0.5,0.002,35,7.166615581512451,6.3239261388778685,0.17925888,0.38720816,2.0644064,1.9412018,20
2,5e-05,64,0.4,0.002,0,2.4094316828250886,5.800363272428513,0.71492547,0.27790445,1.2168858,1.8273871,20
2,5e-05,64,0.5,0.002,0,3.296673707962036,4.470888251811266,0.60490334,0.41352716,1.4461325,1.6713585,20
2,5e-05,64,0.4,0.002,35,3.810374028682709,3.9026168271899224,0.54208577,0.45405006,1.5265987,1.648543,20
2,5e-05,64,0.5,0.002,35,4.5187690997123715,4.462468114495278,0.4595428,0.42204347,1.6705887,1.6634699,20
2,5e-05,96,0.4,0.002,0,4.232891410589218,7.079493165016174,0.5178628,0.31399333,1.5681446,1.8540806,20
2,5e-05,96,0.5,0.002,0,4.6631838351488115,5.717768609523773,0.4776597,0.4459452,1.6439788,1.6156582,20
2,5e-05,96,0.4,0.002,35,4.32555265724659,5.48339478969574,0.48706087,0.46865606,1.6179612,1.6579647,20
2,5e-05,96,0.5,0.002,35,4.599878832697868,5.564158010482788,0.47883973,0.46083012,1.6651208,1.6662802,20
3,2e-05,64,0.4,0.002,0,3.6870238685607903,3.891280946135521,0.55818474,0.45756453,1.4981846,1.4685969,20
3,2e-05,64,0.5,0.002,0,4.890403065681458,4.208728505671024,0.4142166,0.44182357,1.7309501,1.5447208,20
3,2e-05,64,0.4,0.002,35,4.727644560337067,3.89556046128273,0.4340918,0.49407578,1.6972004,1.5020956,20
3,2e-05,64,0.5,0.002,35,5.401399943828583,4.526940052211285,0.35218304,0.39615276,1.8202057,1.6243513,20
3,2e-05,96,0.4,0.002,0,5.051388983428478,5.3012489676475525,0.43838367,0.4863061,1.6919823,1.5117767,20
3,2e-05,96,0.5,0.002,0,8.273560106754303,8.94976544380188,0.04560934,0.13276291,2.2311056,2.1822627,20
3,2e-05,96,0.4,0.002,35,4.970412853360176,6.785380744934082,0.4232912,0.342493,1.7186658,1.7379051,20
3,2e-05,96,0.5,0.002,35,7.575663170218467,8.299314594268798,0.16850953,0.19579199,2.090643,2.0247145,20
3,5e-05,64,0.4,0.002,0,3.2138922655582425,3.755425138771534,0.61196756,0.48104948,1.4116099,1.4450612,20
3,5e-05,64,0.5,0.002,0,3.3152092766761774,3.225644238293171,0.6030299,0.5630257,1.4433964,1.3265893,20
3,5e-05,64,0.4,0.002,35,3.9051903295516963,4.548365862667561,0.5284344,0.40905005,1.5596323,1.54124,20
3,5e-05,64,0.5,0.002,35,3.0958805513381957,3.524673528969288,0.6297455,0.51862305,1.4066904,1.3831522,20
3,5e-05,96,0.4,0.002,0,4.067129956185818,6.569209361076355,0.5319885,0.3634401,1.5495282,1.7184185,20
3,5e-05,96,0.5,0.002,0,4.941223835945129,5.890491425991058,0.4505621,0.42920822,1.700257,1.4727358,20
3,5e-05,96,0.4,0.002,35,4.2327051103115085,6.025149035453796,0.5409273,0.4161598,1.522122,1.585376,20
3,5e-05,96,0.5,0.002,35,5.588895326852798,7.006873703002929,0.34743768,0.32103014,1.8462719,1.7788131,20
