network_type,learning_rate,batch_size,feature_count,final_train_loss,final_test_loss,final_train_r2,final_test_r2,final_train_mae,final_test_mae
2layer,2e-05,32,20,3.0787090063095093,3.6934449474016824,0.65187335,0.5638112,1.3377752,1.4159641
2layer,2e-05,32,25,2.5559275269508364,4.229837616284688,0.6977416,0.5174004,1.2603843,1.4014432
2layer,2e-05,32,30,2.6632349610328676,4.142633676528931,0.67597985,0.5193627,1.2846777,1.425046
2layer,2e-05,32,35,2.8489222884178163,7.307119369506836,0.6778971,0.22315544,1.2568805,1.9151443
2layer,2e-05,48,20,3.272505726133074,6.2293925285339355,0.60172343,0.40665567,1.3966156,1.7375587
2layer,2e-05,48,25,3.19656549181257,5.805185556411743,0.6137017,0.42189044,1.4307156,1.696119
2layer,2e-05,48,30,2.741607631955828,5.867717742919922,0.6742331,0.43201375,1.2479362,1.7573638
2layer,2e-05,48,35,4.570852245603289,6.946943759918213,0.5769184,0.322407,1.3882354,2.0705333
2layer,2e-05,64,20,3.127259922027588,3.714017331600189,0.61930203,0.513729,1.4198055,1.42512
2layer,2e-05,64,25,2.764093804359436,5.122366547584534,0.6694634,0.36071938,1.3272889,1.7612365
2layer,2e-05,64,30,3.018771505355835,3.3876325488090515,0.6361757,0.51429224,1.3534853,1.407123
2layer,2e-05,64,35,2.5736764430999757,4.3365031480789185,0.69035983,0.45166177,1.2190616,1.6279922
2layer,5e-05,32,20,2.2592101097106934,3.8238635063171387,0.7360663,0.5592388,1.1503122,1.3093953
2layer,5e-05,32,25,2.0488687992095946,4.616883754730225,0.7549796,0.46953183,1.130623,1.4118398
2layer,5e-05,32,30,2.375985211133957,8.236113866170248,0.7277704,0.13909811,1.187765,2.4530725
2layer,5e-05,32,35,2.2150162935256956,7.411660512288411,0.759616,0.21157789,1.1422769,2.059661
2layer,5e-05,48,20,2.401359728404454,5.34210467338562,0.72378755,0.48521304,1.1700186,1.4331416
2layer,5e-05,48,25,2.5028998170580183,5.716869592666626,0.685541,0.4605267,1.280796,1.4979999
2layer,5e-05,48,30,2.1535318919590543,4.750335693359375,0.7479918,0.5406498,1.1435668,1.3542936
2layer,5e-05,48,35,1.988665989467076,5.27171778678894,0.7669573,0.483271,1.0857596,1.5169812
2layer,5e-05,64,20,2.3442365646362306,4.178271770477295,0.71652186,0.43569553,1.1727039,1.4872277
2layer,5e-05,64,25,2.0482015132904055,5.574180603027344,0.7598007,0.39831895,1.1212217,1.7045482
2layer,5e-05,64,30,1.8656610012054444,3.8787072896957397,0.77560043,0.5053816,1.0832208,1.3467575
2layer,5e-05,64,35,1.7333517789840698,3.8122451305389404,0.788844,0.50692534,1.0365909,1.4705101
2layer,0.0001,32,20,1.9396766304969788,3.831404666105906,0.7658219,0.55315804,1.1113546,1.3373806
2layer,0.0001,32,25,2.0910672664642336,4.9724412361780805,0.74661756,0.42216295,1.1071472,1.449858
2layer,0.0001,32,30,1.791068434715271,6.4456978638966875,0.80179614,0.29886013,1.0254077,1.9732481
2layer,0.0001,32,35,1.6491989135742187,5.977507034937541,0.8127328,0.32770514,1.002624,1.9401697
2layer,0.0001,48,20,1.987830400466919,5.094896554946899,0.7733419,0.4901029,1.0700355,1.3746164
2layer,0.0001,48,25,1.948948860168457,6.955723285675049,0.75539887,0.30592692,1.0967773,1.7949456
2layer,0.0001,48,30,2.0789548328944614,5.751457452774048,0.7871137,0.4375794,1.0602616,1.5933048
2layer,0.0001,48,35,1.4149950572422572,4.73330545425415,0.825963,0.5392151,0.9676118,1.3925787
2layer,0.0001,64,20,1.6774150133132935,3.8136109709739685,0.80069757,0.48247308,1.0140857,1.4420666
2layer,0.0001,64,25,1.7161312580108643,4.45575225353241,0.7947278,0.43815148,1.0309668,1.5292779
2layer,0.0001,64,30,1.558559203147888,4.29962432384491,0.81120306,0.4597656,0.98033345,1.5118041
2layer,0.0001,64,35,1.3960994482040405,4.357506632804871,0.8316666,0.43514186,0.9199888,1.6231798
3layer,2e-05,32,20,2.610087549686432,3.8167010148366294,0.67776096,0.5608808,1.2878826,1.1834078
3layer,2e-05,32,25,2.675886106491089,5.487858176231384,0.6782382,0.3728673,1.3120661,1.5989372
3layer,2e-05,32,30,3.0590679168701174,4.865228335062663,0.65937877,0.43953055,1.3306209,1.4178356
3layer,2e-05,32,35,2.3327258229255676,3.849579095840454,0.7130449,0.5599019,1.196691,1.4551295
3layer,2e-05,48,20,3.4818947996412004,5.971770524978638,0.60150397,0.43361723,1.460376,1.7040383
3layer,2e-05,48,25,3.384248290743147,6.646344900131226,0.5942384,0.34781337,1.429195,1.8828764
3layer,2e-05,48,30,3.141022648130144,6.407445907592773,0.606902,0.36275804,1.4220339,1.6781379
3layer,2e-05,48,35,2.7411700998033797,5.184105634689331,0.6836915,0.4876892,1.3212663,1.5682094
3layer,2e-05,64,20,3.229329299926758,3.045631170272827,0.6165062,0.5657256,1.3869905,1.3250777
3layer,2e-05,64,25,2.8885659694671633,4.000359416007996,0.6594999,0.50296474,1.3102046,1.4349988
3layer,2e-05,64,30,2.927179384231567,4.032420337200165,0.65229195,0.46993643,1.3302213,1.6439492
3layer,2e-05,64,35,2.932004976272583,2.868184119462967,0.64791596,0.5874723,1.3685765,1.2915295
3layer,5e-05,32,20,2.03300199508667,4.051737864812215,0.7542663,0.5257106,1.1095359,1.2655734
3layer,5e-05,32,25,1.7774007081985475,4.576218883196513,0.78487325,0.47986698,1.05997,1.3810331
3layer,5e-05,32,30,2.1966613054275514,7.50943907101949,0.7487179,0.14666903,1.1330508,2.104502
3layer,5e-05,32,35,1.8813829660415649,5.957815686861674,0.7769395,0.3161813,1.0801452,1.9089215
3layer,5e-05,48,20,2.3438786949430193,4.6145195960998535,0.7168969,0.5530673,1.1727453,1.2923771
3layer,5e-05,48,25,1.9952353749956404,7.252922296524048,0.75475603,0.26676613,1.1060272,1.6308734
3layer,5e-05,48,30,1.749436923435756,4.807951927185059,0.79338485,0.5286574,0.9706959,1.3613586
3layer,5e-05,48,35,2.282133170536586,5.572146892547607,0.7394031,0.4541766,1.1475583,1.619917
3layer,5e-05,64,20,2.451872706413269,3.56291002035141,0.71738505,0.51883227,1.2019712,1.387132
3layer,5e-05,64,25,2.615475058555603,2.9986060559749603,0.67966187,0.56471634,1.2872908,1.1745771
3layer,5e-05,64,30,1.859937810897827,3.235791116952896,0.7737598,0.5300505,1.0766172,1.3823403
3layer,5e-05,64,35,2.189291000366211,4.106388509273529,0.7398497,0.45941478,1.1296458,1.5983639
3layer,0.0001,32,20,1.7447253584861755,4.436334550380707,0.79093695,0.48091322,1.0363468,1.3946096
3layer,0.0001,32,25,1.408516037464142,5.919236898422241,0.83113545,0.3582906,0.92644,1.6378227
3layer,0.0001,32,30,1.506264293193817,3.9615084528923035,0.8130661,0.5323532,0.94503313,1.2689065
3layer,0.0001,32,35,1.4449789106845856,4.086471080780029,0.827175,0.5293188,0.9431325,1.3253384
3layer,0.0001,48,20,2.194496180330004,4.4468910694122314,0.71849716,0.55973977,1.2243304,1.345159
3layer,0.0001,48,25,1.5978307298251562,4.744107961654663,0.81485593,0.5352458,0.96176684,1.3225936
3layer,0.0001,48,30,1.628039836883545,11.412714958190918,0.8139002,-0.18334723,0.9790025,2.6029377
3layer,0.0001,48,35,1.9390269943646021,15.349958896636963,0.8065858,-0.5105977,0.9766518,3.1288564
3layer,0.0001,64,20,1.6795406103134156,2.96037819981575,0.7954358,0.5502088,1.0353658,1.2753489
3layer,0.0001,64,25,1.237871241569519,3.698882520198822,0.8508762,0.5042908,0.87775016,1.2710726
3layer,0.0001,64,30,1.2644347429275513,3.0476488769054413,0.84841925,0.5563011,0.8834538,1.3111547
3layer,0.0001,64,35,1.2891726732254027,2.9168702363967896,0.8483542,0.57765365,0.8802703,1.2385336
