pca,num_layers,learning_rate,batch_size,dropout_percent,weight_decay,pca_components,final_train_loss,final_test_loss,final_train_r2,final_test_r2,final_train_mae,final_test_mae,window_size
True,3,5e-05,64,0.4,0.002,29,2.363412873148918,2.9016425728797914,0.71568966,0.58996344,1.2164898,1.1696045,20
True,3,5e-05,64,0.6,0.002,29,4.286409525871276,3.185566258430481,0.48655677,0.5338743,1.6630204,1.3794432,20
True,3,5e-05,64,0.4,0.003,29,2.5834360289573666,3.2026618577539923,0.68984395,0.55330175,1.2693623,1.3112847,20
True,3,5e-05,64,0.6,0.003,29,3.734267647266388,3.4666758686304093,0.5531305,0.5163601,1.5523946,1.3994036,20
True,3,5e-05,64,0.4,0.004,29,2.416032778024674,2.9076227232813836,0.7123778,0.59446675,1.2159417,1.2194221,20
True,3,5e-05,64,0.6,0.004,29,4.006471459865571,3.235644081234932,0.52080435,0.5528153,1.6063757,1.3878019,20
True,3,5e-05,96,0.4,0.002,29,3.5466935336589813,4.800172364711761,0.6120039,0.53486073,1.4032582,1.2849326,20
True,3,5e-05,96,0.6,0.002,29,5.774688896536827,8.569996690750122,0.35685748,0.16956273,1.839763,1.9251267,20
True,3,5e-05,96,0.4,0.003,29,3.4486413583159448,5.599162435531616,0.61082757,0.45743814,1.4162755,1.4841053,20
True,3,5e-05,96,0.6,0.003,29,5.849106496572494,7.427098178863526,0.36163223,0.2803102,1.8275776,1.7601589,20
True,3,5e-05,96,0.4,0.004,29,3.1690099202096462,5.296999680995941,0.6549795,0.48671788,1.3406665,1.3832133,20
True,3,5e-05,96,0.6,0.004,29,5.847407814860344,8.3362455368042,0.36681002,0.19221333,1.8144782,1.8783891,20
