Feature,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29
total_population,0.06122312190741341,-0.02359585733158687,-0.05866602464678124,-0.031371297791319766,-0.068717242050012,0.26083875045312355,0.056728130347589535,0.23863199241089814,-0.06052576985827682,0.3042984406538705,0.008374288225941254,-0.25624880943584694,0.27077344097458567,-0.053612178168474044,0.1416526646239508,0.18199710943426312,0.4421988338729292,0.05564115727282575,-0.07380470075600375,0.002382450311200023,0.25641533389723864,0.08581136231137002,0.1746993420874619,-0.0558609606350873,-0.07835237248858766,0.22965682935380458,0.16151535244802048,-0.08831253182447935,-0.007165618552576715
population_density,0.0729487262048143,-0.02351674772340462,-0.08726523968551958,-0.003511082596420037,-0.09887436621364476,0.28596284606799405,-0.07480262193444603,0.2787609618938262,-0.004878963358131922,0.2947031255498756,-0.06978543226611555,-0.19677736902054846,0.025382451677403765,-0.08234186387167622,0.007246940727732446,0.013055150684480571,-0.013965613021037285,-0.007004840158879,0.13370654253256417,0.22517478375656963,-0.021319671753902952,0.1733530840463437,-0.2553353479752004,0.06714630486811662,0.0019094037565871858,-0.030899671883964266,-0.25961497141740514,0.279880070242308,0.1894650035063167
male_percent,-0.07511176868970437,-0.03127139584617886,0.035872928014111516,-0.11012237325429217,0.24973635091284818,-0.14367696353563175,-0.0781186816339038,-0.2208171594972015,-0.1208987658118594,0.015164568263746223,-0.1660797056964656,-0.2422379757760856,0.16222770978264017,0.031950153602912056,-0.029840127309205974,0.2626787449888542,-0.12362665389529368,0.12427458505167889,-0.03435491089364223,0.2734506856654571,0.04762562127991239,-0.0750122248348488,0.2136214156997096,0.0642529074733516,0.3554487751496353,0.0680237696461907,-0.24651706204102075,0.1368429089089,0.08548183376889526
percent_inhouseholds,0.028206387716344067,-0.018623488822125833,0.17208673371438843,-0.20355062458841439,-0.21673343846916815,0.020058573026129622,-0.08815589697855448,0.13987623014046174,0.048599510675419136,-0.08641646672363,0.049613505524893305,0.0034792681386054125,0.16358199819745828,0.02748111065902121,-0.0011565967481813547,-0.09709198598666653,-0.04640976205744474,-0.06461619976658153,-0.07991665637602618,0.08265399548356638,0.08475558458601888,-0.06375567991545679,0.08610367878169779,-0.038083273162859754,-0.054020722972441135,-0.03734833178614422,-0.009053015085917271,0.037493213690800206,0.07178465769780754
percent_marriedhouseholds,0.05922635306690792,-0.14548417697853888,0.13634983729615105,0.15115315803875967,-0.0667219562991565,-0.036996659070337834,-0.05850596481160317,0.04551178183355464,0.04538068058645118,0.07886618468807075,-0.06884598897679371,-0.09060191636898005,-0.024423018523952095,0.03506530536272385,0.03928157398999324,-0.004888532594923299,-0.04023110534737289,-0.08897545531478966,-0.013536360294952147,0.11451175277981071,-0.05651436416555246,0.036429905751592245,0.08041979012854686,-0.02855566892815127,0.002875881548901081,-0.10966412093042714,-0.15727116386095066,0.030368758879226486,-0.04144232521322707
percent_cohabitingcouple,-0.12222980792715044,-0.1345864660027314,0.0781241347377814,-0.07650610367811717,-0.05127267822208728,-0.015145559907625283,0.13931350245133867,0.04902788081779055,0.015332657600414731,-0.07214553441741545,-0.04204155283924859,0.0011052853525509443,0.025288035734579023,0.06436881021814074,-0.06282633108026038,-0.01986158583507118,0.020019660295188355,0.11605357313122164,-0.0880694945818508,0.08429581488999366,0.08044938347292183,-0.04124648631252724,0.11497930590283387,-0.01987744538951779,-0.12393269116369121,0.006216099213545698,-0.13534857417575574,-0.025599087589839968,-0.06810290030795686
percent_solomale,0.001572286733572608,-0.16235757851236082,-0.052195801150696206,-0.14216579743486735,0.10375400473697538,0.2077343237871745,0.0602319783446809,-0.03178455811427544,0.019856837164514037,-0.14748886214818016,-0.10297158109975164,-0.022185501925797435,0.13222516627409714,0.038187852578875116,0.07340525168081682,0.22156604877991773,-0.03196650713263871,0.0062002889499299454,-0.044062437309916574,-0.06315459463470163,-0.029019111651345617,0.0353359728985595,0.12423239068473102,0.06991089400287745,0.06051585653040765,0.017902684808254125,-0.08134911525129103,-0.10455716033842623,-0.03999399273504543
percent_solofemale,0.07870445038950347,-0.1725584181078032,-0.033703119521735575,-0.05497087777901499,-0.042505816079216274,0.21630489902923505,0.07044421062543105,0.07758573952990233,0.04544111151844548,-0.029333005902642678,-0.02260178972459967,0.02126951071108345,0.05720626964396998,-0.009090965637243573,-0.0008848560223560509,0.030123574463658112,-0.0793868120478764,-0.012904885862107252,0.06325091702496466,-0.1614121218352249,-0.04675456136598863,0.06570448744329274,-0.04480558932359338,0.019860967145632125,-0.05637714582980283,-0.022995199786866996,-0.07604398350666965,-0.10992594615814814,0.024845336603043555
percent_occupiedhousingunits,-0.02997101060703249,0.11523558204434099,0.05146995883696326,-0.08400811063977895,-0.11933964857987867,-0.03154828249395303,0.030215470382885613,0.1973543242184518,-0.14861380558458873,0.41885401654830534,0.09897205956537986,-0.07194447826016048,-0.21224818939333717,0.18788639961028866,-0.0315837050718457,-0.12597251104223664,-0.12495854514765523,0.35272828130181694,-0.03296096363346795,0.07042675853378387,-0.0647052080433039,-0.26101559760223814,-0.09609461836883822,0.0945661167864166,0.10308432613230348,-0.23444110418619257,0.028180910966336493,-0.19788377403785595,-0.027855497774550066
percent_owneroccupied,0.0875512839758902,-0.11961963359442711,0.07916495039687041,0.18400346895066172,0.022882757721261582,-0.05812242248188673,-0.07848269447720613,0.19325555432105157,0.015357475563366436,-0.1122758039010421,0.012652567418045095,-0.020534057731347755,0.053798324746062665,0.12732512147503675,-0.04178080979703211,-0.03743156101653955,-0.05192368611288738,0.21987193401309726,0.0642694640511392,0.08471344820247598,-0.007506382529128858,-0.138275228657864,-0.1126537615983435,0.277092197957655,-0.09551809430660706,0.09109492616721995,0.25336745621049483,0.24374127732172857,0.07950205809563933
