Component,Explained_Variance_Ratio,Cumulative_Variance
Component_1,0.27586757738423323,0.27586757738423323
Component_2,0.20434275711531352,0.48021033449954675
Component_3,0.13981580962233714,0.620026144121884
Component_4,0.06284941547635715,0.6828755595982411
Component_5,0.04168530948665956,0.7245608690849007
Component_6,0.03143006544105954,0.7559909345259602
Component_7,0.020139769691110698,0.7761307042170709
Component_8,0.016978037646129672,0.7931087418632006
Component_9,0.014285344961058537,0.8073940868242591
Component_10,0.012766415567957226,0.8201605023922163
Component_11,0.012311051666537775,0.8324715540587541
Component_12,0.011277281226740071,0.8437488352854942
Component_13,0.01032458534776414,0.8540734206332583
Component_14,0.009038380724446479,0.8631118013577048
Component_15,0.008737789110943313,0.8718495904686482
Component_16,0.007789245392009466,0.8796388358606576
Component_17,0.007465792364962669,0.8871046282256203
Component_18,0.007094347461240909,0.8941989756868612
Component_19,0.00646861598265463,0.9006675916695158
Component_20,0.006367879822111134,0.907035471491627
Component_21,0.00602903740309299,0.91306450889472
Component_22,0.005942391025357191,0.9190068999200772
Component_23,0.005427572167281706,0.924434472087359
Component_24,0.0050662276541728855,0.9295006997415318
Component_25,0.004730597530143002,0.9342312972716749
Component_26,0.0044934653652646695,0.9387247626369395
Component_27,0.004090702336601454,0.942815464973541
Component_28,0.0039473931279200205,0.946762858101461
Component_29,0.0037483533013681534,0.9505112114028291
